,,,,,,,,,2020年＝100.0
,鉱工業接続指数（季節調整済指数）（四半期）,,,,,,,,
,,,,,,,,,
,指数名称,付加価値額生産指数,付加価値額生産指数,出荷指数,出荷指数,在庫指数（末）,在庫指数（末）,在庫率指数,在庫率指数
,期種,四半期,四半期,四半期,四半期,四半期,四半期,四半期,四半期
時系列コード,指数水準、前期比の別,水準,前期比,水準,前期比,水準,前期末比,水準,前期比
1953000103,1953Q1,5.6,－,5.6,－,5.5,－,－,－
1953000406,1953Q2,6,8.9,6.4,11.6,5.5,1.2,－,－
1953000709,1953Q3,6.4,4.3,6.6,4.8,5.7,4.9,－,－
1953001012,1953Q4,6.6,5.9,6.7,4.8,5.9,4.7,－,－
1954000103,1954Q1,6.7,1.6,6.9,1.2,6.7,9.6,－,－
1954000406,1954Q2,6.6,-1.2,6.7,-4.6,7.2,10.5,－,－
1954000709,1954Q3,6.5,-2.7,6.7,1,7.4,2.4,－,－
1954001012,1954Q4,6.5,3,6.9,3.1,7.3,-1.8,－,－
1955000103,1955Q1,6.9,1.8,7,3.3,7.1,-3.8,－,－
1955000406,1955Q2,7,1.2,7.1,1,7.1,0.3,－,－
1955000709,1955Q3,7.3,5.6,7.4,5.8,7.1,-2.7,－,－
1955001012,1955Q4,7.6,4,7.8,2.6,7.1,0.8,－,－
1956000103,1956Q1,8,5.6,8.2,5.6,7.1,-1.1,－,－
1956000406,1956Q2,8.4,5.5,8.5,4.9,7,0.2,－,－
1956000709,1956Q3,8.8,6.4,9,5.3,7.1,0.2,－,－
1956001012,1956Q4,9.5,5.2,9.6,3.9,7.3,7.2,－,－
1957000103,1957Q1,9.8,5.2,10,5.4,7.7,4,－,－
1957000406,1957Q2,10.6,6.9,10.2,3.2,8.6,11.7,－,－
1957000709,1957Q3,10.6,-0.4,10.2,-0.1,9.7,12.1,－,－
1957001012,1957Q4,10.3,-3.8,10,-2.3,10.8,12.2,－,－
1958000103,1958Q1,10.1,-0.1,10,-0.4,12,2.4,－,－
1958000406,1958Q2,9.8,-3,10.1,1.4,11.7,-1.9,－,－
1958000709,1958Q3,10.2,2.9,10.2,1.3,12,0.7,－,－
1958001012,1958Q4,10.5,3.3,10.7,4.3,11.3,-3.5,－,－
1959000103,1959Q1,10.9,5.5,11.2,4.5,11,-2.8,－,－
1959000406,1959Q2,11.7,6.7,11.8,6.2,11.3,1.8,－,－
1959000709,1959Q3,12.5,6.5,12.6,5.5,11.7,3,－,－
1959001012,1959Q4,13.3,6.4,13.5,7.1,11.6,1.2,－,－
1960000103,1960Q1,14.1,6.5,14.2,4.9,12.6,8,－,－
1960000406,1960Q2,14.7,4.5,14.6,4.1,13.7,5.5,－,－
1960000709,1960Q3,15.4,4.5,15.4,5.1,14.3,3.9,－,－
1960001012,1960Q4,16.1,4.5,16,4.3,14.4,4.7,－,－
1961000103,1961Q1,17,4.7,16.8,3.9,15.5,4.6,－,－
