《世界》  【月別】  （輸入）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLD Monthly Data  (Import),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,魚介類,,肉類,,穀物類,,野菜,,果実,,２．原料品,,,,,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,３．鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,(一般炭),,４．化学製品,,有機化合物,,医薬品,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,木製品等(除家具),,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,７．電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線・絶縁ケーブル,,音響映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,８．輸送用機器,,自動車,,自動車の部分品,,航空機類,,９．その他,,,,,,科学光学機器,,衣類・同附属品,,家具,,バッグ類,
1988/07,2097989785 ,-,340425596 ,-,318530839 ,-,21894757 ,200275 ,142973610 ,95232 ,46934635 ,2353220 ,44060132 ,-,14470163 ,-,26078987 ,-,303971503 ,-,299464391 ,54278 ,4507112 ,-,85086690 ,1159012 ,40744656 ,10805482 ,32485914 ,360320 ,15060434 ,-,470359727 ,17893818 ,235940971 ,-,97275859 ,2216392 ,35175612 ,2651957 ,57777542 ,1331216 ,27140078 ,7407287 ,51599929 ,1956068 ,10944902 ,-,160533426 ,-,47400039 ,2150401 ,33139399 ,-,307272908 ,761289 ,42639559 ,278325 ,113875689 ,-,13028388 ,-,47964716 ,-,47942878 ,-,21126239 ,-,98572862 ,2018 ,17079049 ,100063 ,18395198 ,482067 ,9227587 ,-,98490722 ,-,25191284 ,256133982 ,19491751 ,-,-,-,16326674 ,-,9036472 ,348814 ,4588721 ,-,-,464366 ,14446529 ,-,63954463 ,12804 ,33399836 ,-,4851609 ,336 ,21044982 ,-,254408578 ,-,203612696 ,-,50795882 ,-,13443348 ,-,72647765 ,12517794 ,10185307 ,2586541 ,8305403 
1988/08,2113415332 ,-,378473473 ,-,357996219 ,-,20477254 ,221838 ,168959309 ,101904 ,51849490 ,2539422 ,51035558 ,-,14651200 ,-,21580428 ,-,315452849 ,-,310547629 ,54797 ,4905220 ,-,76566083 ,1080088 ,43959616 ,9502077 ,29903056 ,347850 ,16813405 ,-,377139994 ,14038243 ,178272560 ,-,62062118 ,2486219 ,35506796 ,2736457 ,57800805 ,769713 ,14852974 ,8962629 ,63573891 ,2443292 ,14113560 ,-,162235328 ,-,45284390 ,2289741 ,29355210 ,-,315464637 ,897179 ,55126809 ,244028 ,110437356 ,-,14355810 ,-,44564552 ,-,42567501 ,-,24172556 ,-,102064816 ,1676 ,11778248 ,121766 ,24086558 ,581188 ,11961153 ,-,107485535 ,-,29015646 ,264758604 ,23236950 ,-,-,-,15369677 ,-,8913311 ,429011 ,5145750 ,-,-,459078 ,15853177 ,-,53299030 ,13831 ,37033828 ,-,4701155 ,155 ,7496963 ,-,301799670 ,-,243687856 ,-,58111814 ,-,14421398 ,-,108713453 ,13738153 ,10919974 ,2876219 ,9557127 
1988/09,2068934053 ,-,340723188 ,-,320266549 ,-,20456639 ,181674 ,121473556 ,105617 ,55671381 ,2262114 ,50035092 ,-,19237607 ,-,22693395 ,-,306892473 ,-,301244027 ,61498 ,5648446 ,-,76609135 ,1084570 ,41053722 ,9814561 ,29982684 ,427116 ,21342588 ,-,354811801 ,12577958 ,156740671 ,-,61393999 ,2149005 ,29326600 ,2482642 ,52735312 ,1098884 ,21133199 ,8906014 ,62068009 ,2313597 ,13438344 ,-,175426989 ,-,52355485 ,2280019 ,29052672 ,-,309489319 ,884664 ,50897205 ,243282 ,101560582 ,-,14645588 ,-,42878135 ,-,52730587 ,-,23369146 ,-,109286639 ,2416 ,13975535 ,142277 ,26892688 ,650950 ,12173774 ,-,105367961 ,-,27933257 ,291964067 ,22149441 ,-,-,-,16557056 ,-,8185231 ,433668 ,5286393 ,-,-,476656 ,16890233 ,-,41992055 ,10685 ,25127647 ,-,4647908 ,166 ,8610507 ,-,324943628 ,-,257370058 ,-,67573570 ,-,14739397 ,-,123519931 ,13403624 ,10734773 ,3325462 ,8969691 
1988/10,2088890851 ,-,361859334 ,-,342520163 ,-,19339171 ,181608 ,127516284 ,116572 ,61902595 ,2337504 ,53957396 ,-,17028636 ,-,27597896 ,-,318521435 ,-,313558740 ,58819 ,4962695 ,-,74358527 ,1395179 ,52256927 ,10835668 ,33196091 ,379531 ,17818269 ,-,351472736 ,13454722 ,157724400 ,-,59032066 ,2432572 ,30007062 ,2525937 ,50835995 ,914286 ,17347941 ,9398532 ,65901525 ,2406536 ,13606138 ,-,158101724 ,-,50368475 ,1938804 ,29872741 ,-,315254865 ,902907 ,54020652 ,273397 ,107777870 ,-,14522807 ,-,44370794 ,-,47683295 ,-,24469750 ,-,103934736 ,2004 ,12672890 ,160154 ,22213872 ,626330 ,12157421 ,-,110230938 ,-,28607342 ,287529385 ,22496150 ,-,-,-,17868719 ,-,8175273 ,412034 ,6456562 ,-,-,503045 ,16731864 ,-,65465760 ,13263 ,33336327 ,-,5595308 ,335 ,19369030 ,-,304049323 ,-,231431292 ,-,72618031 ,-,14251002 ,-,99076199 ,14049017 ,10567965 ,2936577 ,8784605 
1988/11,2020461335 ,-,344085449 ,-,317230143 ,-,26855306 ,164325 ,115743054 ,114031 ,61229589 ,2318132 ,50397880 ,-,16946621 ,-,23415570 ,-,293012724 ,-,288155047 ,58414 ,4857677 ,-,72774820 ,1083269 ,43852090 ,10459015 ,29579753 ,216259 ,9804021 ,-,344362759 ,16523293 ,164010769 ,-,59797762 ,2210800 ,25611050 ,2675006 ,48794774 ,1228118 ,20145402 ,7741512 ,51091515 ,2249191 ,13066891 ,-,162000493 ,-,52896363 ,2452275 ,30578842 ,-,306910703 ,824648 ,51430373 ,246755 ,97133572 ,-,15930957 ,-,45177653 ,-,48212489 ,-,25549894 ,-,106621325 ,2003 ,12800422 ,211078 ,22557783 ,769766 ,12787326 ,-,111366282 ,-,27495962 ,284130485 ,20433625 ,-,-,-,18303665 ,-,10258248 ,542554 ,5401143 ,-,-,551928 ,17143157 ,-,69938967 ,17225 ,42708275 ,-,5340617 ,242 ,15144804 ,-,282162633 ,-,208233507 ,-,73929126 ,-,15751129 ,-,73309320 ,14985521 ,10610323 ,3303999 ,9273295 
1988/12,2011295296 ,-,323199886 ,-,302885367 ,-,20314519 ,154086 ,106649053 ,105623 ,53145312 ,2574654 ,55455201 ,-,18353557 ,-,18228136 ,-,298447533 ,-,294743161 ,46165 ,3704372 ,-,71159872 ,1331194 ,51013399 ,10132234 ,28379511 ,456611 ,18454920 ,-,392399439 ,20101624 ,186886419 ,-,77199946 ,2570467 ,30228698 ,2635154 ,47411749 ,967688 ,15246307 ,9935677 ,64970843 ,2515781 ,14102040 ,-,163642957 ,-,50507120 ,2572342 ,25674127 ,-,287938692 ,812191 ,48078509 ,257762 ,95540012 ,-,15320346 ,-,44616467 ,-,38611913 ,-,24101228 ,-,113679318 ,2268 ,14043874 ,215792 ,30607440 ,731606 ,13629066 ,-,106336890 ,-,25680327 ,218133341 ,19594679 ,-,-,-,19510668 ,-,8668858 ,591618 ,6147298 ,-,-,530053 ,16638948 ,-,56642730 ,16252 ,39096973 ,-,5193081 ,163 ,8626525 ,-,269007851 ,-,204384604 ,-,64623247 ,-,15059080 ,-,64605439 ,15324917 ,10423494 ,2693071 ,9025627 
1989/01,2024444396 ,-,275388672 ,-,250916287 ,-,24472385 ,135127 ,88348369 ,86140 ,42643266 ,2147179 ,47193198 ,-,16856414 ,-,15422032 ,-,326910726 ,-,322557775 ,53235 ,4352951 ,-,75061333 ,1282015 ,59201197 ,10594814 ,29857092 ,341693 ,14293790 ,-,428069003 ,19146510 ,200921224 ,-,95119416 ,2477737 ,31515895 ,2907105 ,55858094 ,1368604 ,22317545 ,7823034 ,52960012 ,2285016 ,13305639 ,-,167440850 ,-,53532866 ,2150727 ,30332175 ,-,300345353 ,917315 ,50130522 ,267516 ,100245981 ,-,13988149 ,-,41374152 ,-,39902157 ,-,30586922 ,-,109488892 ,2660 ,13183899 ,202336 ,20656233 ,690699 ,13238161 ,-,108168852 ,-,27158263 ,214627977 ,20804584 ,-,-,-,19405103 ,-,9330455 ,550449 ,7060417 ,-,-,489695 ,16600639 ,-,49937356 ,11346 ,29757156 ,-,5368805 ,202 ,9524056 ,-,258694692 ,-,195269010 ,-,63425682 ,-,15244728 ,-,70968602 ,16458815 ,11694524 ,2760407 ,8966899 
1989/02,1946462225 ,-,262427116 ,-,237999362 ,-,24427754 ,144134 ,83034588 ,73080 ,35476431 ,2271466 ,50302856 ,-,17574427 ,-,16115907 ,-,283001866 ,-,279645965 ,39894 ,3355901 ,-,71247600 ,1039560 ,45992963 ,9755950 ,29196907 ,266239 ,11239801 ,-,426742067 ,16960309 ,205883540 ,-,91667141 ,2185910 ,30618127 ,2705350 ,56951189 ,975698 ,16701053 ,7765183 ,54691552 ,1932251 ,11756733 ,-,154851736 ,-,50839807 ,1876321 ,30873982 ,-,272802929 ,658146 ,37437693 ,231576 ,97819297 ,-,13438460 ,-,34881814 ,-,43285924 ,-,23716449 ,-,100021308 ,1881 ,11764764 ,190931 ,21712702 ,686583 ,12615534 ,-,103978622 ,-,25898979 ,222849197 ,20416439 ,-,-,-,17564035 ,-,7228186 ,459939 ,4939207 ,-,-,495172 ,18207536 ,-,52087938 ,13491 ,34513037 ,-,4568196 ,171 ,7582648 ,-,290548643 ,-,206463418 ,-,84085225 ,-,14317319 ,-,72256568 ,14823986 ,10590173 ,2751446 ,9946628 
1989/03,2544696946 ,-,377403642 ,-,339199091 ,-,38204551 ,199573 ,133220451 ,97820 ,51847833 ,2546610 ,56279845 ,-,25875081 ,-,22400403 ,-,386451090 ,-,381588605 ,59852 ,4862485 ,-,100757719 ,1150256 ,49279831 ,11823078 ,35134867 ,446626 ,18834232 ,-,489610335 ,19072872 ,249064315 ,-,73457957 ,2490108 ,36609793 ,3086115 ,65276663 ,1628089 ,27527633 ,10483289 ,73827103 ,2988046 ,17936944 ,-,213303268 ,-,62607468 ,2632687 ,33202419 ,-,359754149 ,819591 ,55473828 ,288053 ,122672814 ,-,17894168 ,-,45950138 ,-,60184516 ,-,27387906 ,-,137534970 ,2643 ,14543571 ,269427 ,35297816 ,900244 ,15633319 ,-,139757711 ,-,32097933 ,252259862 ,25158695 ,-,-,-,20231774 ,-,10432045 ,627053 ,6885712 ,-,-,675792 ,27474289 ,-,57035953 ,14980 ,38740230 ,-,6524361 ,201 ,6974323 ,-,383845828 ,-,293390519 ,-,90455309 ,-,19135661 ,-,87709015 ,21975090 ,14917666 ,3466190 ,11667278 
1989/04,2104684284 ,-,326248608 ,-,301800155 ,-,24448453 ,148409 ,107484683 ,99272 ,52210514 ,2012078 ,46310860 ,-,20908202 ,-,26306843 ,-,274433053 ,-,269520543 ,58115 ,4912510 ,-,61985705 ,1122991 ,42257097 ,10175128 ,31371946 ,453528 ,19452761 ,-,440374060 ,16989241 ,238393977 ,-,74576690 ,2121593 ,35326615 ,2301018 ,51655725 ,1017896 ,17678982 ,8091529 ,57606371 ,2045295 ,12898168 ,-,175124508 ,-,50393338 ,1977585 ,31889470 ,-,333437858 ,811149 ,54143103 ,301629 ,121141844 ,-,16069658 ,-,49093745 ,-,45855418 ,-,27156930 ,-,103945064 ,2117 ,15277389 ,197976 ,21893318 ,700905 ,14555820 ,-,107324361 ,-,27627797 ,222189497 ,21962209 ,-,-,-,19320540 ,-,8420262 ,481933 ,6177737 ,-,-,368671 ,13627789 ,-,68614002 ,16529 ,43125480 ,-,4559716 ,203 ,15184338 ,-,275182770 ,-,233172253 ,-,42010517 ,-,14867971 ,-,87340791 ,20115796 ,13603100 ,3393764 ,11668530 
1989/05,2400801378 ,-,372951651 ,-,338734621 ,-,34217030 ,148973 ,110217743 ,123645 ,67043922 ,2531761 ,59210263 ,-,20605113 ,-,32364723 ,-,374458344 ,-,369109968 ,63210 ,5348376 ,-,97374761 ,1570310 ,66901960 ,10910096 ,36164666 ,315306 ,14087563 ,-,485689000 ,15687994 ,237927318 ,-,93921099 ,2316007 ,41090465 ,2704197 ,62864518 ,1135243 ,20084461 ,9320752 ,70370801 ,2153520 ,14326976 ,-,197034406 ,-,55033303 ,2229143 ,31149675 ,-,359869512 ,875580 ,56118158 ,283967 ,113420799 ,-,17960223 ,-,55395476 ,-,54316348 ,-,35332353 ,-,127753278 ,2748 ,17650993 ,324527 ,26801851 ,687783 ,14629713 ,-,130573160 ,-,33279283 ,297947919 ,26158035 ,-,-,-,21278449 ,-,10221099 ,538471 ,6295167 ,-,-,470493 ,18892495 ,-,67045910 ,16039 ,46062100 ,-,6279263 ,153 ,6955663 ,-,285426117 ,-,231107923 ,-,54318194 ,-,18571337 ,-,72086841 ,24367744 ,16610176 ,3333951 ,11534509 
1989/06,2491568117 ,-,390672139 ,-,347607037 ,-,43065102 ,143494 ,110812021 ,111932 ,63932112 ,2383030 ,59182812 ,-,18024947 ,-,36080838 ,-,384028011 ,-,378334445 ,65738 ,5693566 ,-,109753535 ,1368325 ,61813829 ,9593373 ,34882882 ,373657 ,17783904 ,-,472518173 ,13682943 ,221676323 ,-,96684930 ,2308128 ,41533973 ,2399315 ,60211092 ,1248827 ,22834336 ,8915330 ,70353480 ,2543906 ,17975594 ,-,198830025 ,-,53924596 ,1913047 ,30854641 ,-,364675875 ,769325 ,55017588 ,280516 ,123623898 ,-,18157012 ,-,57557645 ,-,54197218 ,-,28851423 ,-,139052003 ,2127 ,18913516 ,335140 ,34026418 ,838227 ,17793812 ,-,132916149 ,-,32567780 ,260417784 ,25232340 ,-,-,-,23318724 ,-,11238996 ,510479 ,6761597 ,-,-,513088 ,20723134 ,-,94077539 ,19294 ,52256895 ,-,6029411 ,285 ,28723956 ,-,314798203 ,-,257447874 ,-,57350329 ,-,19268651 ,-,77205448 ,20607738 ,16258313 ,2866111 ,11589777 
1989/07,2472457831 ,-,379610227 ,-,347266349 ,-,32343878 ,173138 ,125798649 ,113065 ,60626261 ,2156119 ,53696928 ,-,16686029 ,-,34096216 ,-,370844339 ,-,366155235 ,52345 ,4689104 ,-,106088083 ,1206979 ,53590592 ,9537311 ,34268064 ,490735 ,22076197 ,-,455666557 ,14114977 ,219630951 ,-,91086208 ,2053994 ,36107520 ,2428073 ,59424810 ,784181 ,14360255 ,8730901 ,70645220 ,1877537 ,13254017 ,-,192156823 ,-,53845002 ,2186006 ,30520805 ,-,370580105 ,902878 ,59443717 ,285978 ,120120472 ,-,17728506 ,-,54114655 ,-,57725406 ,-,34458852 ,-,133063897 ,2626 ,20379791 ,293518 ,27321066 ,749892 ,17901008 ,-,140089654 ,-,35341814 ,290403175 ,28331134 ,-,-,-,22675263 ,-,11068830 ,582788 ,8695444 ,-,-,518810 ,23188583 ,-,90374581 ,17091 ,47685469 ,-,6645903 ,380 ,29032609 ,-,340071648 ,-,280231341 ,-,59840307 ,-,18977684 ,-,112799302 ,16480225 ,13635815 ,2858141 ,12090962 
