《世界》  【月別】  （輸入）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLD Monthly Data  (Import),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報道発表品目名,総額,１．食料品,,,,,,魚介類,,肉類,,穀物類,,野菜,,果実,,２．原料品,,,,,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,３．鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,(一般炭),,４．化学製品,,有機化合物,,医薬品,,５．原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸・繊維製品,,非金属鉱物製品,,木製品等(除家具),,６．一般機械,,原動機,,電算機類(含周辺機器),,電算機類の部分品,,７．電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線・絶縁ケーブル,,音響映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,８．輸送用機器,,自動車,,自動車の部分品,,航空機類,,９．その他,,,,,,科学光学機器,,衣類・同附属品,,家具,,バッグ類,
概況品名,,,,食料品及び動物,,飲料及びたばこ,,魚介類及び同調製品,,肉類及び同調製品,,穀物類及び同調製品,,野菜,,果実,,,,原材料,,動植物性油脂,,木材,,非鉄金属鉱,,鉄鉱石,,大豆,,鉱物性燃料,,原油及び粗油,,石油製品,,(揮発油),,液化天然ガス,,液化石油ガス,,石炭,,(一般炭),,化学製品,,有機化合物,,医薬品,,原料別製品,,鉄鋼,,非鉄金属,,金属製品,,織物用糸及び繊維製品,,非金属鉱物製品,,木製品及びコルク製品(除家具),,一般機械,,原動機,,(電算機類(含周辺機器)),,(電算機類の部分品),,電気機器,,半導体等電子部品,,(ＩＣ),,絶縁電線及び絶縁ケーブル,,音響・映像機器(含部品),,重電機器,,通信機,,（電話機）,,電気計測機器,,輸送用機器,,自動車,,自動車の部分品,,航空機類,,,,雑製品,,特殊取扱品,,科学光学機器,,衣類及び同附属品,,家具,,バッグ類,
概況品コード,'0'〜'9','0'+'1',,'0',,'1',,'007',,'003',,'009',,'01103',,'01101',,'2'+'4',,'2',,'4',,'20701',,'21505',,'21501',,'20307',,'3',,'30301',,'30303',,'3030301',,'3050103',,'3050101',,'30101',,'3010105',,'5',,'50101',,'507',,'6',,'613',,'615',,'617',,'609',,'611',,'605',,'701',,'70101',,'7010505',,'7010507',,'703',,'70311',,'7031103',,'70304',,'70305',,'70301',,'70307',,'7030703',,'70313',,'705',,'70501',,'70503',,'70505',,'8'+'9',,'8',,'9',,'81101',,'807',,'803',,'805',
,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額,数量,金額
Years/Months,(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位：KL),(千円),(単位),(千円),(単位：KL),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位),(千円),(単位：MT),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：MT),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位),(千円),(単位：NO),(千円),(単位：KG),(千円),(単位：MT),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位),(千円),(単位：KG),(千円),(単位：KG),(千円)
1988/01,1796164853 ,-,224815297 ,-,204604184 ,-,20211113 ,111239 ,70714044 ,79996 ,33801900 ,2280675 ,35100681 ,-,16495623 ,-,13288894 ,-,299415570 ,-,295830715 ,45173 ,3584855 ,-,73080165 ,1146134 ,50810541 ,9951320 ,29865134 ,495733 ,15445801 ,-,463443583 ,17052423 ,245924423 ,-,76048326 ,2054023 ,27373058 ,2804719 ,65249807 ,927334 ,19445235 ,8839145 ,56539497 ,1880419 ,9522146 ,-,146539801 ,-,45446168 ,2135307 ,25080189 ,-,264742318 ,1184394 ,49323648 ,337922 ,97454656 ,-,10447905 ,-,38270717 ,-,30198978 ,-,22006014 ,-,82535106 ,2214 ,14752038 ,107575 ,15469737 ,366275 ,7584963 ,-,84249611 ,-,19774705 ,209602534 ,14534133 ,-,-,-,10798453 ,-,6739263 ,361657 ,8653302 ,-,-,375197 ,12863350 ,-,46716836 ,11111 ,30483455 ,-,3880185 ,133 ,5806974 ,-,183706731 ,-,144463285 ,-,39243446 ,-,11317606 ,-,48345247 ,11874311 ,9007905 ,2006787 ,5795649 
1988/02,1927670914 ,-,241040496 ,-,216235311 ,-,24805185 ,152334 ,77469239 ,73506 ,32160403 ,2263141 ,36889669 ,-,18208644 ,-,15096416 ,-,270358636 ,-,267080981 ,40825 ,3277655 ,-,63960468 ,1048678 ,42705337 ,11356531 ,33185459 ,228006 ,7596781 ,-,475641131 ,18078967 ,260217969 ,-,81404710 ,2063899 ,27182532 ,2616929 ,62344773 ,1103136 ,23429498 ,7667585 ,47915287 ,1961919 ,10015623 ,-,144029821 ,-,43970665 ,2035729 ,25421849 ,-,258819206 ,1058135 ,50005002 ,239924 ,89988865 ,-,10719473 ,-,32557428 ,-,39221564 ,-,16594370 ,-,86780715 ,1810 ,10698435 ,48280 ,22077323 ,443482 ,8502803 ,-,88653719 ,-,20041398 ,221871670 ,15064895 ,-,-,-,11624979 ,-,6545776 ,284287 ,3828926 ,-,-,483405 ,17276388 ,-,101877455 ,9625 ,28374110 ,-,3655834 ,891 ,64465462 ,-,260469735 ,-,169766702 ,-,90703033 ,-,12788727 ,-,59281824 ,13604154 ,10285734 ,2827894 ,8170786 
1988/03,1963965033 ,-,280855659 ,-,251704697 ,-,29150962 ,198699 ,100970779 ,64786 ,30484755 ,2403930 ,38095259 ,-,18871522 ,-,20286179 ,-,287399082 ,-,283138012 ,53167 ,4261070 ,-,67968159 ,1156784 ,37498301 ,9970410 ,29455619 ,478749 ,16148957 ,-,459127075 ,16024509 ,227629961 ,-,80722569 ,2176287 ,30692683 ,2950882 ,69174278 ,972833 ,20771955 ,9481296 ,59772784 ,2467615 ,13090736 ,-,167228845 ,-,50491837 ,1779601 ,27999741 ,-,239222447 ,700018 ,34755966 ,221537 ,75843177 ,-,12441092 ,-,33671594 ,-,46341066 ,-,16725212 ,-,106065511 ,1714 ,15248657 ,75288 ,22680951 ,471440 ,10252984 ,-,110513360 ,-,23053244 ,268439627 ,17945926 ,-,-,-,14814112 ,-,7317865 ,362043 ,7204226 ,-,-,702996 ,25683892 ,-,73689910 ,14159 ,37582962 ,-,4276742 ,348 ,26920365 ,-,239863144 ,-,182665535 ,-,57197609 ,-,16354036 ,-,57739667 ,15386389 ,10950068 ,2241308 ,7529411 
1988/04,1971996284 ,-,285953262 ,-,265810186 ,-,20143076 ,167658 ,102064521 ,83237 ,35358255 ,2570293 ,42252812 ,-,18970488 ,-,24120893 ,-,284561309 ,-,280196075 ,51744 ,4365234 ,-,78237018 ,1270766 ,36471347 ,9649214 ,27580773 ,449393 ,15103414 ,-,415547139 ,16311318 ,214304756 ,-,67500038 ,2162264 ,29869413 ,2276062 ,49987682 ,1414868 ,29502633 ,8756027 ,53786892 ,2498727 ,12801305 ,-,149151284 ,-,47738562 ,2268481 ,27845215 ,-,323275470 ,1161236 ,59035171 ,357762 ,118242222 ,-,12769298 ,-,42954954 ,-,43886738 ,-,24031467 ,-,86184775 ,1902 ,11633571 ,102090 ,17123130 ,472963 ,8440823 ,-,85248730 ,-,21283141 ,224567979 ,15832669 ,-,-,-,12530813 ,-,6117356 ,346009 ,3591323 ,-,-,406539 ,14660282 ,-,66627103 ,12811 ,32310122 ,-,4320703 ,358 ,24924695 ,-,275447212 ,-,201872649 ,-,73574563 ,-,12864653 ,-,65505833 ,21554958 ,14003076 ,3700689 ,9227107 
1988/05,1928914302 ,-,290720835 ,-,263057845 ,-,27662990 ,159700 ,96380529 ,93151 ,41896011 ,2621756 ,45713124 ,-,14070645 ,-,27200709 ,-,309969978 ,-,305764940 ,52950 ,4205038 ,-,86472066 ,1153714 ,37499874 ,11603814 ,34752781 ,427489 ,14567547 ,-,388653962 ,14672925 ,185593551 ,-,75439747 ,2162994 ,30837510 ,2371140 ,51665350 ,892263 ,18511592 ,8875997 ,57082334 ,1783799 ,9218499 ,-,153998708 ,-,46797111 ,1898391 ,28126221 ,-,288790602 ,1107834 ,52754382 ,265216 ,92297534 ,-,12573534 ,-,42042290 ,-,45587167 ,-,22063381 ,-,96826359 ,1745 ,16231898 ,85385 ,17909081 ,586828 ,9242265 ,-,92109645 ,-,22063378 ,236710261 ,17175439 ,-,-,-,14024931 ,-,6774176 ,485911 ,5702422 ,-,-,458803 ,14557593 ,-,60561200 ,12997 ,35278499 ,-,4248556 ,252 ,14345630 ,-,247283013 ,-,176289846 ,-,70993167 ,-,13100537 ,-,45151643 ,19770927 ,12977722 ,2582556 ,7309231 
1988/06,2016621821 ,-,323240876 ,-,298393045 ,-,24847831 ,198708 ,113652420 ,107391 ,48733422 ,2307774 ,40391417 ,-,14687862 ,-,33067934 ,-,303916938 ,-,299980508 ,52969 ,3936430 ,-,85625895 ,1152717 ,47415546 ,9296554 ,27152104 ,418396 ,14768681 ,-,416265734 ,15432284 ,198511461 ,-,91550039 ,2698316 ,42422894 ,2305191 ,48829448 ,1117278 ,22498943 ,8209115 ,54467303 ,2251428 ,12052681 ,-,157126411 ,-,49945316 ,2057488 ,28532644 ,-,285910282 ,841339 ,44153799 ,227285 ,93443677 ,-,12746831 ,-,44116633 ,-,49144240 ,-,20897467 ,-,101411599 ,1476 ,14381191 ,100252 ,23076838 ,548597 ,9559306 ,-,90569375 ,-,22886554 ,226740570 ,17754456 ,-,-,-,14310206 ,-,6968082 ,329148 ,3668298 ,-,-,364157 ,13332287 ,-,81408718 ,10823 ,29857271 ,-,4380824 ,565 ,42071395 ,-,256771888 ,-,177781771 ,-,78990117 ,-,13740895 ,-,46934371 ,15616961 ,11449535 ,2732508 ,7754939 
