,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,,,,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,【参考：修正前データ】,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,
,総計,,,,,,,,,,,,,,,,,,,季節調整値,,,総計,,,,,,,,,,,,,,,,,,,季節調整値
,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率,,,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率
,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,,,,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,
,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,,,,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,
,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）,,,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）
平成　14年度,1145553.0,-2.3540492852698236,103437.892,-4.928664116740933,365507.0,-3.0655110776362733,46380.0,-56.66797466225685,454505.0,2.7710570944036164,9539.0,-3.995571658615134,316002.0,-8.117051157543358,198432.0,-10.960342460221312,62.79453927506788,115584.0,-2.8779336016603736,,,平成　14年度,1145553.0,-2.3540492852698236,103437.892,-4.928664116740933,365507.0,-3.0655110776362733,46380.0,-56.66797466225685,454505.0,2.7710570944036164,9539.0,-3.995571658615134,316002.0,-8.117051157543358,198432.0,-10.960342460221312,62.79453927506788,115584.0,-2.8779336016603736,
平成　15年度,1173649.0,2.452614588761932,104944.857,1.4568790709694497,373015.0,2.054133026180068,31761.0,-31.520051746442434,458708.0,0.9247423020648711,8101.0,-15.074955446063527,333825.0,5.640154176239392,202376.0,1.9875826479599965,60.623380513742234,129327.0,11.890053986710967,,,平成　15年度,1173649.0,2.452614588761932,104944.857,1.4568790709694497,373015.0,2.054133026180068,31761.0,-31.520051746442434,458708.0,0.9247423020648711,8101.0,-15.074955446063527,333825.0,5.640154176239392,202376.0,1.9875826479599965,60.623380513742234,129327.0,11.890053986710967,
平成　16年度,1193038.0,1.6520271392895154,105531.276,0.5587877450726353,367233.0,-1.5500717129338,15166.0,-52.24961430685432,467348.0,1.8835511916077223,9413.0,16.19553141587457,349044.0,4.558975511121105,207442.0,2.503261256275451,59.43147568787889,139430.0,7.811980483580385,,,平成　16年度,1193038.0,1.6520271392895154,105531.276,0.5587877450726353,367233.0,-1.5500717129338,15166.0,-52.24961430685432,467348.0,1.8835511916077223,9413.0,16.19553141587457,349044.0,4.558975511121105,207442.0,2.503261256275451,59.43147568787889,139430.0,7.811980483580385,
平成　17年度,1249366.0,4.721391942251628,106651.13,1.061158400093646,352577.0,-3.990926741333155,9997.0,-34.08281682711328,517999.0,10.837962289343281,8515.0,-9.539997875278871,370275.0,6.082614226286665,230674.0,11.199274978066171,62.29802174059821,137815.0,-1.1582873126299944,,,平成　17年度,1249366.0,4.721391942251628,106651.13,1.061158400093646,352577.0,-3.990926741333155,9997.0,-34.08281682711328,517999.0,10.837962289343281,8515.0,-9.539997875278871,370275.0,6.082614226286665,230674.0,11.199274978066171,62.29802174059821,137815.0,-1.1582873126299944,
平成　18年度,1285246.0,2.871856605670402,108646.936,1.8713406974684546,355700.0,0.8857639607801957,6924.0,-30.73922176652995,537943.0,3.8502004830125287,9100.0,6.870229007633583,382503.0,3.3024103706704437,241826.0,4.8345283820456615,63.22198780140287,138394.0,0.4201284330443116,,,平成　18年度,1285246.0,2.871856605670402,108646.936,1.8713406974684546,355700.0,0.8857639607801957,6924.0,-30.73922176652995,537943.0,3.8502004830125287,9100.0,6.870229007633583,382503.0,3.3024103706704437,241826.0,4.8345283820456615,63.22198780140287,138394.0,0.4201284330443116,
平成　19年度,1035598.0,-19.42414137060142,88360.351,-18.672026793282043,311800.0,-12.341861118920434,4704.0,-32.062391681109176,430855.0,-19.90694181353787,10311.0,13.307692307692307,282632.0,-26.10986057625692,159694.0,-33.963262841878034,56.50244841348467,121163.0,-12.450684278220166,,,平成　19年度,1035598.0,-19.42414137060142,88360.351,-18.672026793282043,311800.0,-12.341861118920434,4704.0,-32.062391681109176,430855.0,-19.90694181353787,10311.0,13.307692307692307,282632.0,-26.10986057625692,159694.0,-33.963262841878034,56.50244841348467,121163.0,-12.450684278220166,
平成　20年度,1039214.0,0.34917023787221524,86343.931,-2.282041636525406,310670.0,-0.36241180243746385,5353.0,13.796768707482983,444848.0,3.2477283540866466,11089.0,7.545339928231982,272607.0,-3.547015199977352,164597.0,3.0702468470950635,60.37886041077448,106609.0,-12.011917829700494,,,,,,,,,,,,,,,,,,,,,,,
平成　21年度,775277.0,-25.39775253220222,67754.985,-21.528954941836048,286993.0,-7.621270158045519,7763.0,45.021483280403515,311463.0,-29.984399165557676,13231.0,19.316439715032914,163590.0,-39.9905358262994,67382.0,-59.06243734697473,41.189559264013695,95294.0,-10.61355045071241,,,,,,,,,,,,,,,,,,,,,,,
平成　22年度,819020.0,5.642241418228579,73875.989,9.034027533177081,308517.0,7.499834490736703,25970.0,234.53561767357985,291840.0,-6.300266805366931,6580.0,-50.26830927367546,212083.0,29.64300996393422,97757.0,45.078804428482385,46.093746316300695,113427.0,19.028480282074426,,,,,,,,,,,,,,,,,,,,,,,
平成　23年度,841246.0,2.7137310444189495,75748.179,2.534233416489357,304822.0,-1.1976649584949968,24500.0,-5.660377358490564,289762.0,-0.7120339912280684,7576.0,15.136778115501514,239086.0,12.732279343464597,120092.0,22.847468723467372,50.229624486586424,117979.0,4.013153834624902,,,,,,,,,,,,,,,,,,,,,,,
