四半期別固定資本ストック（実質原系列）,,,,,
2015年基準値（2015暦年末連鎖価格）,,,,,
,,,,,（単位：10億円）
年,四半期,一国合計,,,
,,,民間企業設備,民間住宅,公的固定資産
,4- 6.,1894021.8,729115,393582.9,771379.8
,7- 9.,1894739.1,729879,393223.2,771667.9
,10-12.,1897426,731446.9,393026.9,772946.8
2019,1- 3.,1903230.3,735945.1,392729.2,774596
,4- 6.,1901681.3,735264.4,392308.2,774149.6
,7- 9.,1903461.3,736636.1,392301.2,774564.6
,10-12.,1905045.4,736704.8,392261.9,776085.8
2020,1- 3.,1909837.2,740446.5,391747,777671.3
,4- 6.,1906447.7,737877.2,391066.5,777498.3
,7- 9.,1905457.8,736766.6,390486.1,778187.3
,10-12.,1906529,736438.7,389982.8,780077.6
2021,1- 3.,1910530.5,739210,389336.4,781971
,4- 6.,1907939.8,737806.4,388618.3,781503.2
,7- 9.,1907576.8,737477.4,388177.6,781905.8
,10-12.,1908741.5,737624.9,387784,783299
2022,1- 3.,1912130.1,740711.1,387116.6,784357.8
,4- 6.,1908999.7,739571.5,386220.1,783304.7
,7- 9.,1908933.8,740196,385650.6,783217.4
,10-12.,1910192,740996.3,385191.2,784129.8
2023,1- 3.,1914652.9,745126.7,384543.7,785237
,4- 6.,1912061.8,743989.6,383850.8,784483.7
,7- 9.,1911760.9,744025.2,383436.1,784560.4
,10-12.,1913254.3,745038.3,383040.5,785437.8
2024,1- 3.,1916866,748853.5,382272.8,786078.7
,4- 6.,1914570.5,748095.2,381459.7,785342.8
,7- 9.,1914753.5,748605.6,380978.8,785469.3
,10-12.,1916476.3,749760.9,380542.9,786427.7
2025,1- 3.,1921134,754237.6,379946.4,787227.2
