四半期別固定資本ストック（実質原系列）,,,,,
前年同期比,,,,,
年,四半期,一国合計,,,
,,,民間企業設備,民間住宅,公的固定資産
1994,1- 3.,-,-,-,-
,4- 6.,-,-,-,-
,7- 9.,-,-,-,-
,10-12.,-,-,-,-
1995,1- 3.,0.022414164313082408,0.008774658804703961,0.019469518209597636,0.04193838848403675
,4- 6.,0.022515542798854815,0.01066737403151552,0.018643048302411813,0.04018503919270544
,7- 9.,0.023096704254661926,0.013246748220244742,0.015554409474136,0.04040775114647177
,10-12.,0.024145818923636098,0.01573710224804592,0.014003152966049148,0.041141094089883534
1996,1- 3.,0.030088200844124113,0.0204567065962713,0.021914589819802988,0.04681508671725787
,4- 6.,0.031361409120924666,0.02145685039409262,0.023674069396284247,0.04809581738547175
,7- 9.,0.032300557147915354,0.02262924008198497,0.026781338081720563,0.04732405025776143
,10-12.,0.03265220516731282,0.0286867526611414,0.029618962570471696,0.03923007772552567
1997,1- 3.,0.031876943518145184,0.029255206214284346,0.030543708770181865,0.03600083291903888
,4- 6.,0.030297044361972558,0.02853463175560389,0.02856350288289411,0.033730513132049555
,7- 9.,0.028537530476545392,0.027777234598735268,0.024362831520514217,0.03230020850341386
,10-12.,0.026537377597405598,0.026265483303535175,0.01910442613593455,0.03162276146812104
1998,1- 3.,0.024366662336841705,0.025483005730007946,0.014471936920010586,0.029260239308950275
,4- 6.,0.02245408097774315,0.024147565723321662,0.011618216635825407,0.027237569128012673
,7- 9.,0.020723417980680114,0.022657215844631873,0.00945134602498654,0.02551006471610262
,10-12.,0.01942927050911969,0.01566803899919922,0.007709384597118563,0.03110505517177886
1999,1- 3.,0.018832960080279237,0.01268691859794946,0.006481332297815223,0.03350633859402197
,4- 6.,0.018443400533705967,0.01027847984372987,0.006608165601034832,0.03509127064600892
,7- 9.,0.017860834564411343,0.012045261211003577,0.0072895340033951594,0.0310997743110073
,10-12.,0.016881125934572028,0.010707552670278675,0.007582400503723052,0.02952123886093827
2000,1- 3.,0.016782119885130564,0.012289650993361212,0.0081970667113338,0.027077346700044247
,4- 6.,0.016246493224145953,0.012597566245386771,0.008200685321514634,0.025247466813967723
,7- 9.,0.01621252131884332,0.010347653271181256,0.00772236319425712,0.02790442585817754
,10-12.,0.01618596735995803,0.012509941054823948,0.008328708909510096,0.024992044038003813
2001,1- 3.,0.016674543126583785,0.013636060829976593,0.008714876698341367,0.024878537798641798
,4- 6.,0.01624796238620263,0.013871604482064814,0.007737121936057134,0.02396987937180528
,7- 9.,0.01539755274553034,0.012824240778488427,0.0069917786929016845,0.023207792407658134
,10-12.,0.013681846957503296,0.009871707570746624,0.006060526724600113,0.02230211977298091
