四半期別固定資本ストック（実質原系列）,,,,,
前年同期比,,,,,
年,四半期,一国合計,,,
2002,1- 3.,0.011507118771435287,0.0062030750474249,0.005000216011773251,0.020975689683819354
,4- 6.,0.010112879604097014,0.0034901435203387177,0.004810878333134649,0.020281889002554232
,7- 9.,0.008968951459387586,0.001518021808473602,0.004736860579931834,0.019418846198355988
,10-12.,0.008296041910753393,0.0008052640267421918,0.004432857447103533,0.01850550083382685
2003,1- 3.,0.007792295371712221,0.0007758527200198984,0.004179536830744457,0.017311065198099662
,4- 6.,0.007816340524270604,0.0015797327605082678,0.003909227582758801,0.016648075929234007
,7- 9.,0.007383717391833633,0.0014324430525420873,0.004028374049714456,0.015576378319686723
,10-12.,0.007314349656585506,0.002414040479691515,0.00420037224821912,0.014189339616202057
2004,1- 3.,0.00724371372708732,0.0032219177021393097,0.004569309634298913,0.012925160473818087
,4- 6.,0.007061400132843065,0.0035453776853751062,0.005098288885229785,0.011783705070449901
,7- 9.,0.00707039388205577,0.004515335155165667,0.00542289692321396,0.010582821383647412
,10-12.,0.0069564965760935404,0.0069185566361342765,0.005990281055379132,0.007451766165754492
2005,1- 3.,0.007237912829555437,0.008176440525182072,0.006102091198679327,0.006900204830465384
,4- 6.,0.007570787211931496,0.010280935954010362,0.005777388219018853,0.005843592192975144
,7- 9.,0.00816501468981956,0.012721259871500301,0.005673919326368404,0.004979684276011476
,10-12.,0.008277118840114728,0.01210609898828463,0.0057897821665520155,0.00576206258273837
2006,1- 3.,0.00843066454451602,0.012653782814742831,0.00600437411080712,0.00548384099914867
,4- 6.,0.008395296123366869,0.012544592757091744,0.006236481842420094,0.005383808632675402
,7- 9.,0.007757395093711761,0.011666858053925644,0.00615733386763595,0.0046516075022104975
,10-12.,0.007630710158593068,0.011830709986742738,0.005926897566000289,0.004270095398844154
2007,1- 3.,0.007522232134768769,0.012589574676026283,0.005650199704781755,0.003422473053227515
,4- 6.,0.0070814405270445135,0.012274179607090208,0.005092433964968723,0.002953064197937616
,7- 9.,0.006258678744738733,0.011428816485333781,0.003166071751312005,0.0027620975644877532
,10-12.,0.004983022984910601,0.010191028353827125,-0.00015803860171292872,0.0025522695408772833
2008,1- 3.,0.003838458208970108,0.009020741867893367,-0.0025961414427507767,0.0021092875511052878
,4- 6.,0.002832105588160383,0.007725912803231649,-0.004313944059072039,0.0017814144769927598
,7- 9.,0.0020692836389315516,0.006234106568160591,-0.004583009009308525,0.0015007507702595735
,10-12.,0.0012249853417136691,0.00406749493941283,-0.0033749995432285074,0.0008858435713912094
2009,1- 3.,-0.0006668131897377139,-0.000497373341315388,-0.003688439104049368,0.0007699727558088121
,4- 6.,-0.002438326316916095,-0.004658082212054104,-0.005700231522158483,0.0015397437247099965
,7- 9.,-0.004686752931969518,-0.009313642647997833,-0.008958125466628664,0.002313347257793641
,10-12.,-0.006472377657319894,-0.01297176825868529,-0.012329727678280444,0.003337307172426085
2010,1- 3.,-0.0069693613464673065,-0.014199172468676857,-0.013805938388741001,0.00406100310662616
,4- 6.,-0.007213176351063111,-0.014316263260986895,-0.014111700254454518,0.003687447844933578
,7- 9.,-0.006874053433326366,-0.013512927157744214,-0.013543287256571501,0.0034267782944408243
,10-12.,-0.006483862919728356,-0.01243628798599239,-0.01222770325423339,0.002593661780829759
2011,1- 3.,-0.011382155879370748,-0.01575488029919969,-0.01831221494966795,-0.003314823490616514
,4- 6.,-0.010952620181146178,-0.01496122081097817,-0.017482215378104904,-0.0034846007785284128
,7- 9.,-0.010360567332163173,-0.013901526102719775,-0.016238349629981164,-0.0037239703935425528
,10-12.,-0.009532002329172284,-0.011724822131776946,-0.015486528170991276,-0.004212513831257869
2012,1- 3.,-0.003301947202487887,-0.004778924190286138,-0.008113042267446802,0.0007781623540779048
,4- 6.,-0.0025199269601540175,-0.003131573696577239,-0.007662425478491497,0.0008732111743476878
,7- 9.,-0.0020039540871414907,-0.002255220041576078,-0.007422670091191463,0.0011412328517914627
,10-12.,-0.0017449666275215492,-0.002473248147478291,-0.006629206420834199,0.0015059968917627842
2013,1- 3.,-0.0017438544495657071,-0.0029639955209079805,-0.005567198512119287,0.0014003325396663158
,4- 6.,-0.001370661611282853,-0.002553474223367491,-0.004750724302311271,0.0015052737586394027
,7- 9.,-0.00042843166427641854,-0.0015503644908978487,-0.0036134563706042844,0.00229589945166353
,10-12.,0.0008587649955404952,-0.0003352989431454345,-0.002228799338705123,0.0036126663606528275
2014,1- 3.,0.002385319280211684,0.002168221212522692,-0.0009352634430815909,0.004391125726528999
,4- 6.,0.002562588781242603,0.0025982513133058216,-0.0009384888040619987,0.004429233264213517
,7- 9.,0.0023565186726164367,0.0028158822104322745,-0.0020927467410776224,0.004307609513980681
,10-12.,0.001988430036269584,0.003078186405297112,-0.003754340197860029,0.003992609829500671
2015,1- 3.,0.0018897476245018918,0.004251247787426582,-0.005193612510354995,0.003426765954901212
,4- 6.,0.0022218907829689716,0.005261417536774005,-0.005163369129001838,0.003301644561838346
,7- 9.,0.0026772180011449542,0.006504636770843231,-0.0043997224918749245,0.002862026926520489
,10-12.,0.003076561360570107,0.0075878437337515425,-0.0037118069535537757,0.0024458649776131214
2016,1- 3.,0.0030228831958027946,0.006747601386950519,-0.0033669488288394778,0.0028563844028275387
,4- 6.,0.0028266605822837576,0.00658797767099073,-0.003827675365719929,0.002753512597020835
,7- 9.,0.0028109377052134565,0.005950885965268382,-0.0031206326049274535,0.0029275708448817106
,10-12.,0.002907534017763558,0.007451232413553832,-0.0023874905908514155,0.0013981853442086578
2017,1- 3.,0.0030647994088626174,0.007760385275456638,-0.001817762929502198,0.001199392799795529
,4- 6.,0.0037723323657594676,0.008305729087701996,-0.0005288246177066469,0.0017662889694847195
,7- 9.,0.003999848665994232,0.008867353799772992,-0.0005008321894158785,0.0017895683055104694
,10-12.,0.004157513875022278,0.008021183595048553,-0.0010209138952272934,0.0032056851744208803
2018,1- 3.,0.004272868983614009,0.008763672133730083,-0.0017187186201810256,0.0031626768508761227
,4- 6.,0.004386022126083411,0.011040090090341126,-0.002841130489321775,0.001931504087260505
,7- 9.,0.004089823333012665,0.010636300649369046,-0.0038839355644182394,0.002084997280514367
,10-12.,0.004073483487471163,0.010857428660946855,-0.004337873332253106,0.002037571033731478
2019,1- 3.,0.004094809805832433,0.010640488572423834,-0.004060901489661317,0.0021090491715605175
,4- 6.,0.004044024832979165,0.008434168502403416,-0.003238684841286754,0.0035906269791659007
,7- 9.,0.004603379133423013,0.009257846017004745,-0.002344720825547264,0.0037538761553701505
,10-12.,0.004015630892666211,0.00718834005715796,-0.0019463441210320065,0.004061032322151936
2020,1- 3.,0.003471432858811907,0.006116486970753288,-0.0025008318434203147,0.003970275968762316
,4- 6.,0.0025064003336854324,0.003553427440627255,-0.0031650920353163414,0.0043256680567036465
,7- 9.,0.0010488904820193934,0.00017711672205011908,-0.004626891552962031,0.0046770419533304075
,10-12.,0.0007787814659321324,-0.0003611097511078132,-0.005810131651654449,0.005143581884387904
2021,1- 3.,0.00036300942740630227,-0.0016698953174340003,-0.0061535246062552895,0.005528904758697717
,4- 6.,0.0007826746298149612,-9.583520719536054e-05,-0.006260323887975483,0.0051510930783913444
,7- 9.,0.001112060219963018,0.0009647461967738913,-0.005911758409334111,0.004778424108197843
,10-12.,0.001160497299893093,0.0016107431117802218,-0.005638250180197146,0.004129611136426403
2022,1- 3.,0.0008372448544347044,0.002030690764412979,-0.005701391746643636,0.0030523661340382535
,4- 6.,0.0005555362932596619,0.0023922886406151367,-0.006170907049590002,0.0023051863271394968
,7- 9.,0.0007113655467665403,0.0036864307190631607,-0.0065100141640243026,0.001677386894860744
,10-12.,0.0007598965816584258,0.0045706085699468435,-0.0066861074013055966,0.0010606160318797908
2023,1- 3.,0.001319356758901602,0.005961274837668951,-0.006646395235592295,0.0011208042680697083
,4- 6.,0.0016040423538183912,0.0059739124453215275,-0.006134702799017955,0.001505035577167968
,7- 9.,0.0014809937978350618,0.005173196983765838,-0.0057421543715708845,0.0017147454613821722
,10-12.,0.0016031354652954466,0.005454802700660677,-0.005583386081054242,0.001668112127627408
2024,1- 3.,0.0011558638358759588,0.005001456472251142,-0.005905427920317341,0.0010719147321913702
,4- 6.,0.0013120293086303914,0.00551837483041151,-0.006229305950177788,0.0010951428788379403
,7- 9.,0.0015653626401550547,0.006156206835963962,-0.00640871786851438,0.0011584233943582323
,10-12.,0.0016840834113134306,0.006338635722356045,-0.006520458587796263,0.0012602359772992955
2025,1- 3.,0.0022265900424141005,0.007189797272763254,-0.006085873162165578,0.0014611277732263783
