実質年度,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Fiscal Year",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
Fiscal Year,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
2005/4-3.,"515,134.1 ","287,363.4 ","281,833.6 ","237,424.6 ","25,837.7 ","85,279.9 ",714.5 ,"92,007.4 ","29,998.1 ",8.0 ,"-4,618.0 ","73,090.4 ","77,708.5 ","-1,456.8 ",,"11,954.1 ","527,088.1 ","12,768.2 ","17,206.3 ","4,438.1 ","539,856.3 ",,"520,871.4 ","399,055.1 ","121,703.9 ",,"140,788.1 ",,"514,056.4 ",,,
2006/4-3.,"521,784.6 ","289,038.5 ","283,416.8 ","238,418.2 ","25,758.0 ","87,220.2 ","1,044.9 ","92,547.0 ","28,110.8 ",-25.6 ,"-1,053.0 ","79,433.4 ","80,486.4 ",-856.2 ,,"8,615.2 ","530,399.8 ","14,971.7 ","20,876.3 ","5,904.6 ","545,371.5 ",,"523,525.0 ","402,948.4 ","120,464.6 ",,"140,930.1 ",,"520,432.0 ",,,
2007/4-3.,"527,271.6 ","290,926.9 ","285,426.6 ","239,864.5 ","22,343.4 ","86,601.8 ","1,919.9 ","94,056.9 ","26,932.1 ",84.7 ,"4,461.3 ","86,992.4 ","82,531.1 ",-55.4 ,,"3,833.6 ","531,105.2 ","16,409.3 ","23,122.4 ","6,713.1 ","547,514.5 ",,"523,037.9 ","401,917.9 ","121,010.3 ",,"135,926.0 ",,"524,941.1 ",,,
2008/4-3.,"508,262.0 ","284,681.2 ","279,230.7 ","233,038.2 ","21,775.3 ","81,562.5 ","2,015.3 ","93,480.8 ","25,793.5 ",-32.2 ,-866.8 ,"78,098.5 ","78,965.3 ",-147.6 ,,-317.4 ,"507,944.6 ","12,538.1 ","17,857.7 ","5,319.6 ","520,482.7 ",,"509,430.3 ","390,135.3 ","119,208.9 ",,"129,140.2 ",,"506,027.4 ",,,
2009/4-3.,"495,875.6 ","286,676.9 ","280,956.8 ","234,171.9 ","17,346.9 ","72,235.0 ","-4,822.0 ","95,875.1 ","28,191.4 ",31.5 ,450.5 ,"71,090.7 ","70,640.2 ",-109.7 ,,"5,089.3 ","500,964.8 ","12,925.5 ","16,760.3 ","3,834.9 ","513,890.3 ",,"495,638.7 ","371,670.0 ","123,980.1 ",,"117,687.2 ",,"500,373.5 ",,,
2010/4-3.,"512,064.7 ","290,498.4 ","284,542.0 ","237,187.8 ","18,187.8 ","73,693.7 ","1,322.2 ","98,057.5 ","26,173.9 ",-66.5 ,"4,672.2 ","83,833.4 ","79,161.3 ",-474.6 ,,"1,316.7 ","513,381.4 ","14,057.7 ","18,335.6 ","4,277.9 ","527,439.1 ",,"507,761.4 ","383,601.1 ","124,143.4 ",,"118,023.4 ",,"511,010.1 ",,,
2011/4-3.,"514,686.7 ","292,326.6 ","285,757.8 ","238,002.6 ","18,984.0 ","76,622.9 ","1,687.2 ","99,967.7 ","25,592.9 ",5.6 ,-622.7 ,"82,634.4 ","83,257.1 ",122.3 ,,"-5,031.0 ","509,655.7 ","14,457.0 ","18,612.5 ","4,155.5 ","524,112.7 ",,"515,192.0 ","389,584.6 ","125,606.1 ",,"121,202.8 ",,"513,065.1 ",,,
2012/4-3.,"517,919.3 ","297,291.7 ","290,281.2 ","241,843.6 ","19,834.2 ","77,758.4 ",410.2 ,"101,258.3 ","25,874.4 ",3.5 ,"-4,932.6 ","81,504.7 ","86,437.3 ",421.1 ,,"-5,198.8 ","512,720.6 ","14,712.8 ","19,390.4 ","4,677.7 ","527,433.3 ",,"522,460.9 ","395,293.1 ","127,171.9 ",,"123,462.4 ",,"517,533.8 ",,,
2013/4-3.,"532,072.3 ","305,995.2 ","298,942.3 ","249,886.5 ","21,549.7 ","81,953.0 ","-1,356.5 ","103,088.3 ","28,071.2 ",30.7 ,"-7,398.5 ","85,086.2 ","92,484.7 ",139.1 ,,"-6,841.1 ","525,231.2 ","18,568.5 ","25,059.8 ","6,491.3 ","543,799.7 ",,"539,162.9 ","407,976.9 ","131,190.3 ",,"131,524.7 ",,"533,574.1 ",,,
2014/4-3.,"530,195.3 ","297,941.7 ","291,543.4 ","242,230.7 ","19,798.1 ","84,201.5 ",233.9 ,"103,987.5 ","27,425.2 ",80.4 ,"-3,428.0 ","92,643.3 ","96,071.3 ",-45.0 ,,"-5,723.6 ","524,471.7 ","20,007.7 ","28,023.6 ","8,015.9 ","544,479.4 ",,"533,735.6 ","402,195.5 ","131,538.1 ",,"131,417.8 ",,"529,828.5 ",,,
