名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
10-12.,"536,835.2 ","295,857.6 ","289,998.2 ","241,627.5 ","19,566.7 ","87,928.6 ","2,971.0 ","96,011.2 ","26,188.6 ",63.5 ,"8,248.1 ","95,453.7 ","87,205.5 ",,"17,169.4 ","24,275.9 ","7,106.6 ","554,004.6 ",,"528,587.1 ","406,323.8 ","122,263.3 ",,"133,683.9 ",,"533,800.8 ",,,,,,
2008/ 1- 3.,"537,627.7 ","298,118.7 ","292,277.9 ","243,667.6 ","20,306.0 ","88,863.6 ","1,659.6 ","96,011.1 ","25,731.6 ",170.8 ,"6,766.3 ","95,312.4 ","88,546.1 ",,"16,630.5 ","22,794.2 ","6,163.7 ","554,258.2 ",,"530,861.5 ","408,947.9 ","121,913.5 ",,"134,901.3 ",,"535,797.4 ",,,,,,
4- 6.,"533,584.2 ","294,946.6 ","289,144.9 ","240,372.6 ","21,450.7 ","87,913.4 ","4,667.7 ","95,009.2 ","25,117.4 ",-39.3 ,"4,518.5 ","95,318.9 ","90,800.4 ",,"13,147.4 ","19,175.1 ","6,027.7 ","546,731.5 ",,"529,065.7 ","408,978.4 ","120,087.3 ",,"134,481.5 ",,"528,955.7 ",,,,,,
7- 9.,"523,219.5 ","295,505.9 ","289,740.7 ","240,722.6 ","22,181.9 ","86,788.1 ",-844.1 ,"94,323.6 ","25,373.7 ",-87.7 ,-21.9 ,"98,324.4 ","98,346.4 ",,"13,997.9 ","19,587.1 ","5,589.2 ","537,217.4 ",,"523,241.4 ","403,631.8 ","119,609.6 ",,"134,343.7 ",,"524,151.3 ",,,,,,
10-12.,"516,932.1 ","288,480.5 ","282,717.0 ","233,680.3 ","21,831.5 ","83,141.2 ","6,721.6 ","95,321.8 ","25,079.4 ",100.2 ,"-3,744.2 ","75,730.2 ","79,474.3 ",,"12,487.7 ","17,740.0 ","5,252.3 ","529,419.8 ",,"520,676.2 ","400,174.8 ","120,501.4 ",,"130,052.2 ",,"510,110.3 ",,,,,,
2009/ 1- 3.,"492,220.9 ","284,215.6 ","278,425.7 ","229,363.6 ","19,735.0 ","77,027.2 ","-4,780.0 ","94,712.2 ","25,474.5 ",-59.1 ,"-4,104.5 ","53,482.9 ","57,587.4 ",,"11,625.4 ","16,106.8 ","4,481.4 ","503,846.4 ",,"496,325.4 ","376,197.8 ","120,127.6 ",,"122,236.7 ",,"497,060.1 ",,,,,,
4- 6.,"497,852.2 ","285,292.3 ","279,484.1 ","230,353.6 ","17,574.3 ","73,935.3 ","-4,484.3 ","95,395.0 ","26,982.5 ",23.2 ,"3,133.9 ","58,965.1 ","55,831.2 ",,"13,061.4 ","17,029.7 ","3,968.4 ","510,913.5 ",,"494,718.3 ","372,317.6 ","122,400.6 ",,"118,492.1 ",,"502,313.3 ",,,,,,
7- 9.,"493,626.3 ","285,306.7 ","279,493.1 ","230,323.8 ","16,224.0 ","71,460.5 ","-5,922.9 ","96,367.6 ","26,353.4 ",49.5 ,"3,787.5 ","64,697.0 ","60,909.4 ",,"12,446.5 ","16,301.6 ","3,855.1 ","506,072.8 ",,"489,838.8 ","367,068.3 ","122,770.5 ",,"114,037.9 ",,"499,499.7 ",,,,,,
10-12.,"496,493.5 ","285,928.1 ","280,088.4 ","230,887.8 ","15,683.0 ","70,659.5 ","-4,797.8 ","96,451.9 ","26,686.4 ",38.0 ,"5,844.5 ","68,661.0 ","62,816.5 ",,"12,379.2 ","15,954.8 ","3,575.6 ","508,872.7 ",,"490,649.1 ","367,472.8 ","123,176.3 ",,"113,028.9 ",,"501,253.4 ",,,,,,
2010/ 1- 3.,"501,498.2 ","286,504.3 ","280,616.7 ","231,391.3 ","16,556.6 ","71,250.4 ","-3,353.2 ","96,047.9 ","26,939.2 ",104.5 ,"7,448.6 ","73,260.3 ","65,811.7 ",,"13,349.5 ","17,293.7 ","3,944.1 ","514,847.7 ",,"494,049.6 ","370,958.1 ","123,091.5 ",,"114,746.2 ",,"504,746.9 ",,,,,,
4- 6.,"504,945.5 ","287,923.9 ","282,024.5 ","232,766.8 ","16,651.1 ","71,914.3 ","-1,230.1 ","97,298.6 ","25,503.3 ",-22.8 ,"6,907.0 ","76,409.6 ","69,502.6 ",,"13,015.0 ","17,269.4 ","4,254.5 ","517,960.4 ",,"498,038.4 ","375,259.2 ","122,779.2 ",,"114,068.8 ",,"506,198.3 ",,,,,,
7- 9.,"510,926.2 ","289,931.5 ","284,031.2 ","234,708.6 ","16,848.4 ","72,420.9 ","1,992.2 ","97,640.8 ","25,225.9 ",-132.8 ,"6,999.2 ","76,298.4 ","69,299.2 ",,"13,739.7 ","17,804.8 ","4,065.0 ","524,665.9 ",,"503,927.0 ","381,193.0 ","122,734.0 ",,"114,495.2 ",,"509,066.8 ",,,,,,
10-12.,"505,331.4 ","285,637.6 ","279,650.3 ","230,271.8 ","17,389.5 ","72,032.7 ","2,364.7 ","97,492.6 ","24,628.3 ",-47.8 ,"5,833.9 ","76,047.6 ","70,213.8 ",,"13,989.0 ","18,266.1 ","4,277.1 ","519,320.4 ",,"499,497.5 ","377,424.5 ","122,073.0 ",,"114,050.5 ",,"503,014.5 ",,,,,,
2011/ 1- 3.,"498,681.6 ","281,182.0 ","275,023.4 ","225,663.8 ","17,996.8 ","73,479.5 ","1,095.0 ","98,580.5 ","24,286.7 ",-23.6 ,"2,084.7 ","75,765.6 ","73,680.9 ",,"14,673.7 ","18,909.8 ","4,236.1 ","513,355.3 ",,"496,596.9 ","373,753.4 ","122,843.5 ",,"115,762.9 ",,"497,610.2 ",,,,,,
4- 6.,"490,670.3 ","282,561.4 ","276,210.6 ","226,989.1 ","17,664.0 ","71,930.3 ",701.0 ,"98,869.9 ","24,947.3 ",17.0 ,"-6,020.6 ","69,858.7 ","75,879.3 ",,"14,623.5 ","18,677.6 ","4,054.2 ","505,293.8 ",,"496,690.9 ","372,856.7 ","123,834.2 ",,"114,541.6 ",,"489,952.3 ",,,,,,
7- 9.,"501,039.2 ","286,513.2 ","280,005.5 ","230,742.6 ","18,402.9 ","73,820.0 ","1,417.7 ","99,126.0 ","24,287.2 ",84.1 ,"-2,611.9 ","76,126.3 ","78,738.2 ",,"14,560.6 ","18,631.3 ","4,070.7 ","515,599.8 ",,"503,651.1 ","380,153.8 ","123,497.3 ",,"116,510.1 ",,"499,537.4 ",,,,,,
10-12.,"500,302.1 ","288,337.1 ","281,715.9 ","232,422.5 ","18,051.1 ","76,613.8 ",721.1 ,"99,293.1 ","23,422.5 ",13.8 ,"-6,150.3 ","72,547.2 ","78,697.5 ",,"13,750.0 ","17,836.6 ","4,086.6 ","514,052.1 ",,"506,452.4 ","383,723.0 ","122,729.5 ",,"118,087.4 ",,"499,567.2 ",,,,,,
2012/ 1- 3.,"507,472.9 ","289,826.6 ","283,138.7 ","233,779.4 ","17,757.7 ","76,733.9 ","3,499.3 ","100,414.9 ","24,800.5 ",11.0 ,"-5,570.9 ","74,545.6 ","80,116.6 ",,"13,706.9 ","17,874.7 ","4,167.7 ","521,179.9 ",,"513,043.9 ","387,817.5 ","125,226.4 ",,"119,292.2 ",,"503,962.7 ",,,,,,
4- 6.,"500,161.2 ","289,086.7 ","282,309.5 ","232,903.7 ","18,130.8 ","76,476.6 ",321.6 ,"99,223.6 ","25,077.5 ",71.2 ,"-8,226.8 ","73,478.7 ","81,705.5 ",,"13,621.6 ","18,183.5 ","4,561.9 ","513,782.7 ",,"508,388.0 ","384,015.7 ","124,372.3 ",,"119,684.9 ",,"499,768.4 ",,,,,,
7- 9.,"497,526.2 ","286,850.9 ","279,964.1 ","230,543.9 ","18,415.3 ","75,582.8 ","1,136.1 ","99,813.8 ","24,514.7 ",85.5 ,"-8,872.8 ","71,027.2 ","79,900.0 ",,"13,969.6 ","17,994.2 ","4,024.6 ","511,495.8 ",,"506,399.1 ","381,985.0 ","124,414.1 ",,"118,512.7 ",,"496,304.6 ",,,,,,
10-12.,"497,301.3 ","288,936.4 ","282,000.1 ","232,521.5 ","18,914.5 ","75,475.7 ",-340.2 ,"100,313.5 ","24,080.5 ",16.5 ,"-10,095.7 ","69,542.5 ","79,638.2 ",,"14,217.2 ","18,834.6 ","4,617.4 ","511,518.5 ",,"507,397.0 ","382,986.5 ","124,410.5 ",,"118,470.8 ",,"497,625.0 ",,,,,,
2013/ 1- 3.,"502,941.2 ","293,130.4 ","286,207.6 ","236,674.1 ","19,217.7 ","75,642.9 ",214.5 ,"100,460.0 ","24,590.0 ",-102.9 ,"-10,211.3 ","76,317.6 ","86,528.9 ",,"15,529.1 ","20,572.9 ","5,043.8 ","518,470.3 ",,"513,152.5 ","388,205.4 ","124,947.1 ",,"119,450.6 ",,"502,829.7 ",,,,,,
4- 6.,"507,527.5 ","295,028.8 ","288,070.1 ","238,489.5 ","19,552.6 ","78,403.4 ","-2,285.7 ","101,139.9 ","25,583.9 ",58.0 ,"-9,953.4 ","80,895.2 ","90,848.5 ",,"19,233.4 ","25,051.5 ","5,818.1 ","526,760.9 ",,"517,480.9 ","390,699.2 ","126,781.7 ",,"123,539.9 ",,"509,755.2 ",,,,,,
7- 9.,"512,868.9 ","297,218.9 ","290,201.7 ","240,565.7 ","20,442.1 ","79,738.9 ",-732.9 ,"101,340.0 ","27,103.8 ",-58.1 ,"-12,183.8 ","82,083.2 ","94,267.1 ",,"17,438.3 ","24,060.2 ","6,621.9 ","530,307.2 ",,"525,052.7 ","396,667.0 ","128,385.6 ",,"127,284.8 ",,"513,659.9 ",,,,,,
10-12.,"512,535.9 ","298,081.1 ","291,128.4 ","241,487.2 ","21,355.7 ","80,602.0 ",110.1 ,"101,196.0 ","27,683.5 ",94.5 ,"-16,587.1 ","81,751.6 ","98,338.7 ",,"17,688.1 ","23,937.5 ","6,249.3 ","530,224.0 ",,"529,122.9 ","400,148.9 ","128,974.0 ",,"129,641.2 ",,"512,331.2 ",,,,,,
2014/ 1- 3.,"516,567.3 ","304,581.8 ","297,819.1 ","248,185.4 ","21,682.9 ","82,809.0 ","-2,620.3 ","102,076.0 ","27,272.4 ",111.5 ,"-19,346.2 ","86,683.8 ","106,029.9 ",,"17,665.7 ","24,898.0 ","7,232.3 ","534,233.0 ",,"535,913.4 ","406,453.5 ","129,460.0 ",,"131,764.4 ",,"519,076.0 ",,,,,,
4- 6.,"517,928.2 ","295,026.9 ","288,560.1 ","238,998.8 ","20,426.5 ","81,522.6 ","2,935.7 ","103,143.2 ","26,949.1 ",115.7 ,"-12,191.3 ","87,806.9 ","99,998.2 ",,"17,872.9 ","25,471.6 ","7,598.7 ","535,801.1 ",,"530,119.5 ","399,911.6 ","130,207.9 ",,"128,898.1 ",,"514,876.8 ",,,,,,
7- 9.,"518,283.4 ","297,836.2 ","291,608.5 ","242,092.2 ","19,368.7 ","82,302.0 ",-352.7 ,"104,005.5 ","27,785.4 ",194.6 ,"-12,856.5 ","90,912.4 ","103,768.9 ",,"19,770.6 ","27,574.7 ","7,804.1 ","538,054.0 ",,"531,139.9 ","399,154.2 ","131,985.6 ",,"129,456.1 ",,"518,441.4 ",,,,,,
10-12.,"522,121.2 ","298,085.6 ","291,844.0 ","242,377.4 ","19,403.3 ","83,112.8 ","-1,377.2 ","104,372.8 ","27,781.1 ",21.3 ,"-9,278.5 ","95,777.1 ","105,055.6 ",,"22,334.5 ","30,718.7 ","8,384.3 ","544,455.7 ",,"531,399.7 ","399,224.5 ","132,175.2 ",,"130,297.2 ",,"523,477.1 ",,,,,,
2015/ 1- 3.,"534,684.0 ","299,212.9 ","292,709.0 ","243,293.5 ","19,961.2 ","87,447.5 ",-177.4 ,"105,099.2 ","26,764.1 ",89.5 ,"-3,712.9 ","95,206.5 ","98,919.3 ",,"20,149.9 ","28,540.9 ","8,391.1 ","554,833.8 ",,"538,396.9 ","406,444.1 ","131,952.7 ",,"134,172.7 ",,"534,771.9 ",,,,,,
4- 6.,"538,182.1 ","300,674.8 ","293,881.5 ","244,487.7 ","20,331.0 ","86,477.6 ","2,703.3 ","104,904.8 ","26,515.2 ",-50.1 ,"-3,374.4 ","93,535.1 ","96,909.5 ",,"21,416.5 ","29,935.5 ","8,519.1 ","559,598.6 ",,"541,556.5 ","410,186.7 ","131,369.9 ",,"133,323.7 ",,"535,528.9 ",,,,,,
7- 9.,"539,939.8 ","301,532.5 ","294,549.7 ","245,199.7 ","20,491.3 ","87,811.6 ",784.8 ,"105,507.1 ","26,555.1 ",-68.6 ,"-2,674.0 ","95,566.6 ","98,240.6 ",,"21,094.4 ","30,266.4 ","9,172.0 ","561,034.2 ",,"542,613.8 ","410,620.2 ","131,993.6 ",,"134,858.0 ",,"539,223.6 ",,,,,,
10-12.,"539,315.7 ","298,958.8 ","291,846.0 ","242,540.4 ","20,427.9 ","87,307.1 ",934.0 ,"106,732.5 ","27,081.6 ",-42.6 ,"-2,083.5 ","90,906.3 ","92,989.8 ",,"22,003.3 ","31,431.3 ","9,428.0 ","561,319.0 ",,"541,399.2 ","407,627.7 ","133,771.4 ",,"134,816.6 ",,"538,424.4 ",,,,,,
2016/ 1- 3.,"545,266.2 ","298,039.8 ","290,858.8 ","241,626.7 ","20,354.2 ","86,357.7 ","1,190.2 ","108,012.3 ","27,784.3 ",-43.8 ,"3,571.5 ","87,957.8 ","84,386.3 ",,"20,147.5 ","29,332.8 ","9,185.3 ","565,413.7 ",,"541,694.7 ","405,941.9 ","135,752.8 ",,"134,496.2 ",,"544,119.8 ",,,,,,
4- 6.,"543,350.4 ","296,597.3 ","289,321.5 ","240,160.6 ","20,878.0 ","86,244.6 ","2,598.4 ","106,410.4 ","26,792.1 ",-187.1 ,"4,016.8 ","85,581.6 ","81,564.8 ",,"18,952.8 ","28,680.4 ","9,727.7 ","562,303.2 ",,"539,333.7 ","406,318.3 ","133,015.3 ",,"133,914.7 ",,"540,939.1 ",,,,,,
7- 9.,"543,620.8 ","297,329.3 ","289,936.6 ","240,867.9 ","21,224.8 ","86,413.4 ",171.6 ,"106,778.0 ","26,925.0 ",-282.9 ,"5,061.6 ","85,859.0 ","80,797.4 ",,"18,242.2 ","28,274.9 ","10,032.7 ","561,863.0 ",,"538,559.2 ","405,139.1 ","133,420.1 ",,"134,563.2 ",,"543,732.1 ",,,,,,
10-12.,"544,542.8 ","298,856.1 ","291,403.3 ","242,396.2 ","21,458.3 ","87,286.7 ","-1,492.0 ","106,910.2 ","27,085.6 ",-309.6 ,"4,747.4 ","89,832.2 ","85,084.8 ",,"18,473.7 ","28,535.9 ","10,062.2 ","563,016.4 ",,"539,795.4 ","406,109.2 ","133,686.2 ",,"135,830.6 ",,"546,344.4 ",,,,,,
2017/ 1- 3.,"547,677.1 ","300,669.5 ","293,222.2 ","244,259.9 ","21,447.0 ","87,943.6 ",-605.6 ,"107,151.3 ","27,568.1 ",-327.7 ,"3,831.0 ","95,482.0 ","91,651.0 ",,"20,817.0 ","31,263.8 ","10,446.8 ","568,494.2 ",,"543,846.1 ","409,454.5 ","134,391.6 ",,"136,958.7 ",,"548,610.5 ",,,,,,
4- 6.,"550,555.5 ","302,471.9 ","294,981.1 ","246,075.2 ","21,693.4 ","88,838.4 ",-71.7 ,"107,053.9 ","27,818.3 ",122.0 ,"2,629.3 ","94,748.4 ","92,119.1 ",,"19,679.7 ","30,343.9 ","10,664.2 ","570,235.2 ",,"547,926.1 ","412,932.0 ","134,994.1 ",,"138,350.1 ",,"550,505.2 ",,,,,,
7- 9.,"557,134.2 ","301,700.8 ","294,133.6 ","245,262.0 ","21,654.9 ","89,742.9 ","2,247.2 ","107,600.6 ","27,473.2 ",90.7 ,"6,623.9 ","98,506.7 ","91,882.9 ",,"21,097.9 ","31,513.4 ","10,415.5 ","578,232.1 ",,"550,510.3 ","415,345.8 ","135,164.5 ",,"138,871.0 ",,"554,796.2 ",,,,,,
10-12.,"556,796.3 ","303,420.3 ","295,926.7 ","247,101.2 ","21,054.0 ","90,443.1 ","3,116.9 ","107,624.1 ","27,608.8 ",102.1 ,"3,426.8 ","100,110.0 ","96,683.2 ",,"20,497.4 ","31,578.9 ","11,081.5 ","577,293.7 ",,"553,369.5 ","418,034.4 ","135,335.1 ",,"139,106.0 ",,"553,577.2 ",,,,,,
2018/ 1- 3.,"558,427.5 ","304,584.4 ","297,317.2 ","248,542.1 ","20,625.5 ","91,442.8 ","1,424.0 ","108,737.4 ","28,007.8 ",57.2 ,"3,548.4 ","101,509.9 ","97,961.5 ",,"19,974.7 ","32,033.7 ","12,059.0 ","578,402.2 ",,"554,879.2 ","418,076.8 ","136,802.4 ",,"140,076.1 ",,"556,946.3 ",,,,,,
4- 6.,"558,892.7 ","304,204.7 ","297,276.8 ","248,544.7 ","20,131.6 ","93,221.8 ","1,757.0 ","108,913.6 ","28,451.4 ",-29.2 ,"2,241.7 ","102,142.7 ","99,901.0 ",,"21,658.2 ","33,566.6 ","11,908.4 ","580,550.9 ",,"556,651.0 ","419,315.1 ","137,335.8 ",,"141,804.9 ",,"557,164.9 ",,,,,,
7- 9.,"555,368.7 ","305,569.7 ","298,920.1 ","250,210.5 ","20,266.5 ","90,669.3 ","1,984.7 ","108,758.6 ","28,399.9 ",-14.0 ,-266.1 ,"102,296.0 ","102,562.1 ",,"21,561.4 ","33,606.3 ","12,044.9 ","576,930.1 ",,"555,634.9 ","418,490.3 ","137,144.6 ",,"139,335.8 ",,"553,398.0 ",,,,,,
10-12.,"553,461.3 ","304,913.0 ","298,269.6 ","249,613.6 ","20,588.5 ","92,771.5 ","3,316.7 ","109,041.9 ","28,067.0 ",-71.6 ,"-5,165.8 ","101,566.3 ","106,732.1 ",,"22,137.9 ","34,618.8 ","12,480.9 ","575,599.2 ",,"558,627.0 ","421,589.7 ","137,037.3 ",,"141,427.0 ",,"550,216.1 ",,,,,,
2019/ 1- 3.,"558,800.8 ","304,541.9 ","297,633.5 ","248,997.5 ","21,170.5 ","92,850.1 ","1,560.6 ","109,740.4 ","28,777.8 ",-158.7 ,318.2 ,"98,953.8 ","98,635.6 ",,"21,651.3 ","33,765.1 ","12,113.8 ","580,452.1 ",,"558,482.5 ","420,123.1 ","138,359.5 ",,"142,798.4 ",,"557,398.9 ",,,,,,
4- 6.,"560,920.5 ","305,538.4 ","298,407.2 ","249,799.1 ","21,536.4 ","92,474.5 ","3,282.5 ","111,115.0 ","29,186.0 ",-16.0 ,"-2,196.2 ","98,050.6 ","100,246.8 ",,"22,096.4 ","34,584.5 ","12,488.1 ","583,017.0 ",,"563,116.7 ","422,831.8 ","140,285.0 ",,"143,196.8 ",,"557,654.0 ",,,,,,
7- 9.,"561,442.8 ","308,222.9 ","300,976.5 ","252,391.4 ","21,711.1 ","94,181.1 ",-39.7 ,"111,327.7 ","29,182.9 ",-40.8 ,"-3,102.5 ","97,202.5 ","100,304.9 ",,"22,376.4 ","35,269.0 ","12,892.6 ","583,819.2 ",,"564,545.2 ","424,075.4 ","140,469.8 ",,"145,075.2 ",,"561,523.3 ",,,,,,
10-12.,"550,111.3 ","299,244.7 ","291,778.8 ","243,184.9 ","21,645.9 ","87,817.1 ","1,014.0 ","112,654.7 ","29,396.8 ",17.0 ,"-1,678.9 ","95,446.6 ","97,125.5 ",,"21,190.3 ","33,920.0 ","12,729.8 ","571,301.6 ",,"551,790.3 ","409,721.8 ","142,068.5 ",,"138,859.8 ",,"549,080.3 ",,,,,,
2020/ 1- 3.,"554,478.8 ","302,707.5 ","294,920.3 ","246,344.4 ","20,750.1 ","91,739.0 ",-871.1 ,"112,108.6 ","29,444.2 ",15.0 ,"-1,414.6 ","92,294.5 ","93,709.0 ",,"22,021.9 ","33,659.8 ","11,637.9 ","576,500.7 ",,"555,893.3 ","414,325.6 ","141,567.7 ",,"141,933.3 ",,"555,334.9 ",,,,,,
4- 6.,"513,971.4 ","277,194.8 ","268,957.6 ","220,387.0 ","20,508.1 ","84,545.1 ",60.7 ,"112,024.9 ","30,904.5 ",-97.4 ,"-11,169.3 ","72,727.5 ","83,896.7 ",,"17,951.4 ","28,693.1 ","10,741.7 ","531,922.8 ",,"525,140.7 ","382,308.8 ","142,831.9 ",,"135,957.7 ",,"514,008.1 ",,,,,,
7- 9.,"540,185.3 ","291,465.1 ","282,816.2 ","234,269.2 ","19,565.1 ","84,536.8 ","-1,847.5 ","114,016.1 ","30,688.4 ",-19.9 ,"1,781.2 ","81,367.1 ","79,585.9 ",,"18,781.0 ","29,415.1 ","10,634.1 ","558,966.3 ",,"538,404.1 ","393,719.4 ","144,684.6 ",,"134,790.3 ",,"542,052.7 ",,,,,,
10-12.,"548,935.1 ","295,592.0 ","286,865.0 ","238,337.6 ","19,519.3 ","86,164.2 ","-2,088.3 ","114,553.2 ","30,784.6 ",-174.3 ,"4,584.4 ","88,365.9 ","83,781.5 ",,"20,050.3 ","29,819.1 ","9,768.8 ","568,985.4 ",,"544,350.7 ","399,187.2 ","145,163.5 ",,"136,468.2 ",,"551,197.7 ",,,,,,
2021/ 1- 3.,"551,044.8 ","292,941.4 ","284,473.0 ","235,934.9 ","20,142.4 ","88,219.8 ","1,454.7 ","114,614.6 ","30,919.4 ",-112.0 ,"2,864.7 ","95,123.2 ","92,258.6 ",,"22,391.6 ","33,252.2 ","10,860.7 ","573,436.4 ",,"548,180.2 ","402,758.2 ","145,422.0 ",,"139,281.5 ",,"549,702.2 ",,,,,,
4- 6.,"554,201.8 ","295,271.7 ","287,094.0 ","238,553.9 ","20,890.1 ","90,689.1 ","1,081.8 ","117,932.9 ","30,146.1 ",-20.8 ,"-1,789.2 ","99,670.1 ","101,459.3 ",,"27,575.0 ","39,171.5 ","11,596.6 ","581,776.7 ",,"555,991.0 ","407,932.7 ","148,058.2 ",,"141,725.4 ",,"553,140.8 ",,,,,,
7- 9.,"551,234.9 ","292,650.6 ","284,626.3 ","236,099.0 ","21,418.8 ","89,946.4 ","1,848.0 ","119,435.7 ","30,091.4 ",-65.9 ,"-4,090.1 ","101,263.9 ","105,354.1 ",,"27,192.0 ","38,913.4 ","11,721.4 ","578,426.9 ",,"555,325.1 ","405,863.8 ","149,461.3 ",,"141,456.6 ",,"549,452.8 ",,,,,,
10-12.,"556,379.3 ","301,775.7 ","293,839.3 ","245,356.3 ","21,803.8 ","91,110.2 ","2,246.8 ","117,974.5 ","30,063.8 ",14.6 ,"-8,610.1 ","104,053.6 ","112,663.7 ",,"28,747.0 ","41,739.9 ","12,992.9 ","585,126.3 ",,"564,989.4 ","416,936.5 ","148,052.9 ",,"142,977.8 ",,"554,117.9 ",,,,,,
2022/ 1- 3.,"556,469.8 ","302,241.8 ","294,331.8 ","245,856.7 ","21,919.9 ","92,342.2 ","3,268.6 ","119,566.4 ","29,174.4 ",25.7 ,"-12,069.1 ","110,588.5 ","122,657.6 ",,"32,823.0 ","46,046.8 ","13,223.8 ","589,292.8 ",,"568,538.9 ","419,772.4 ","148,766.5 ",,"143,436.4 ",,"553,175.5 ",,,,,,
4- 6.,"560,908.2 ","311,106.0 ","303,286.8 ","254,829.1 ","21,759.0 ","95,450.5 ","3,343.9 ","119,487.8 ","28,525.5 ",30.5 ,"-18,795.0 ","119,283.0 ","138,078.0 ",,"31,632.8 ","46,105.5 ","14,472.7 ","592,541.0 ",,"579,703.2 ","431,659.5 ","148,043.7 ",,"145,735.0 ",,"557,533.8 ",,,,,,
7- 9.,"557,535.7 ","312,675.7 ","304,963.8 ","256,523.9 ","21,970.0 ","98,631.0 ","2,846.6 ","121,317.4 ","29,061.2 ",-669.6 ,"-28,296.6 ","125,433.5 ","153,730.1 ",,"34,943.2 ","50,184.5 ","15,241.3 ","592,479.0 ",,"585,832.3 ","436,123.4 ","149,708.9 ",,"149,662.2 ",,"555,358.7 ",,,,,,
10-12.,"566,780.5 ","315,658.6 ","307,909.4 ","259,488.3 ","22,187.5 ","98,552.0 ","2,802.9 ","122,684.1 ","29,557.4 ",172.6 ,"-24,834.6 ","127,011.7 ","151,846.3 ",,"40,072.2 ","57,535.8 ","17,463.7 ","606,852.7 ",,"591,615.1 ","439,201.0 ","152,414.1 ",,"150,297.0 ",,"563,805.0 ",,,,,,
2023/ 1- 3.,"582,160.0 ","321,910.3 ","313,976.7 ","265,563.2 ","22,274.8 ","100,459.4 ","1,801.1 ","124,788.8 ","30,561.7 ",135.6 ,"-19,771.6 ","122,258.5 ","142,030.1 ",,"33,011.1 ","52,938.9 ","19,927.8 ","615,171.1 ",,"601,931.6 ","446,445.4 ","155,486.1 ",,"153,295.8 ",,"580,223.3 ",,,,,,
4- 6.,"594,419.1 ","322,410.8 ","314,273.5 ","265,873.1 ","22,474.3 ","99,636.1 ","3,261.8 ","121,769.5 ","30,926.4 ",61.3 ,"-6,121.1 ","126,408.8 ","132,529.9 ",,"35,692.5 ","56,819.5 ","21,127.0 ","630,111.5 ",,"600,540.1 ","447,783.0 ","152,757.2 ",,"153,036.8 ",,"591,096.0 ",,,,,,
7- 9.,"593,764.6 ","322,500.0 ","314,215.7 ","265,817.8 ","22,374.3 ","100,415.8 ",-453.8 ,"122,720.0 ","30,658.0 ",30.5 ,"-4,480.2 ","131,719.0 ","136,199.2 ",,"35,534.0 ","58,365.2 ","22,831.2 ","629,298.6 ",,"598,244.8 ","444,836.3 ","153,408.5 ",,"153,448.1 ",,"594,187.9 ",,,,,,
10-12.,"594,818.1 ","323,453.0 ","315,072.9 ","266,663.2 ","22,306.4 ","103,412.2 ",-495.0 ,"122,544.4 ","30,358.9 ",85.1 ,"-6,846.9 ","137,868.0 ","144,714.9 ",,"37,442.8 ","60,918.1 ","23,475.4 ","632,260.9 ",,"601,665.0 ","448,676.6 ","152,988.4 ",,"156,077.5 ",,"595,228.0 ",,,,,,
2024/ 1- 3.,"595,208.2 ","323,976.9 ","315,554.5 ","267,149.1 ","21,809.6 ","103,432.7 ",123.0 ,"123,011.5 ","29,908.1 ",26.7 ,"-7,080.3 ","134,323.3 ","141,403.6 ",,"36,682.7 ","61,546.7 ","24,864.0 ","631,890.8 ",,"602,288.5 ","449,342.2 ","152,946.3 ",,"155,150.4 ",,"595,058.5 ",,,,,,
4- 6.,"609,664.3 ","328,978.6 ","320,519.7 ","272,129.4 ","22,375.8 ","105,817.4 ","1,445.5 ","125,433.0 ","31,971.2 ",-31.3 ,"-6,325.9 ","139,915.6 ","146,241.4 ",,"40,275.6 ","65,734.9 ","25,459.3 ","649,940.0 ",,"615,990.2 ","458,617.3 ","157,372.9 ",,"160,164.4 ",,"608,250.1 ",,,,,,
