名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
4- 6.,"544,072.6 ","285,133.3 ","280,144.3 ","240,407.6 ","30,419.0 ","90,647.4 ","2,577.2 ","83,289.7 ","46,296.1 ",98.8 ,"5,611.0 ","56,890.4 ","51,279.4 ",,"7,386.7 ","13,441.6 ","6,054.9 ","551,459.2 ",,"538,461.5 ","408,776.9 ","129,684.6 ",,"167,362.5 ",,"541,396.6 ",,,,,,
7- 9.,"544,036.7 ","285,594.7 ","280,664.3 ","240,549.1 ","28,376.5 ","90,792.0 ","4,710.5 ","82,943.3 ","46,399.4 ",138.3 ,"5,081.9 ","55,287.4 ","50,205.5 ",,"6,440.1 ","12,660.8 ","6,220.7 ","550,476.7 ",,"538,954.8 ","409,473.8 ","129,481.0 ",,"165,567.8 ",,"539,187.8 ",,,,,,
10-12.,"544,982.7 ","284,758.4 ","279,735.2 ","239,282.0 ","27,020.6 ","92,824.3 ","3,943.9 ","83,676.5 ","43,977.2 ",406.5 ,"8,375.3 ","58,428.4 ","50,053.1 ",,"7,604.0 ","14,354.2 ","6,750.2 ","552,586.7 ",,"536,607.4 ","408,547.2 ","128,060.2 ",,"163,822.1 ",,"540,632.3 ",,,,,,
1998/ 1- 3.,"537,965.8 ","283,967.1 ","278,705.9 ","237,859.1 ","26,189.8 ","91,037.9 ","3,281.4 ","83,618.1 ","41,284.0 ",234.6 ,"8,352.9 ","56,882.3 ","48,529.4 ",,"7,190.4 ","13,534.2 ","6,343.8 ","545,156.2 ",,"529,612.9 ","404,476.2 ","125,136.6 ",,"158,511.7 ",,"534,449.8 ",,,,,,
4- 6.,"534,811.0 ","283,430.1 ","277,899.8 ","236,888.9 ","25,537.5 ","89,916.1 ","1,703.3 ","83,445.7 ","40,731.0 ",135.1 ,"9,912.2 ","56,686.2 ","46,774.0 ",,"6,079.1 ","12,669.4 ","6,590.3 ","540,890.1 ",,"524,898.8 ","400,587.0 ","124,311.8 ",,"156,184.6 ",,"532,972.6 ",,,,,,
7- 9.,"533,907.2 ","284,808.0 ","279,061.5 ","237,749.9 ","24,909.9 ","89,028.5 ",-462.1 ,"83,649.7 ","42,429.4 ",-67.6 ,"9,611.4 ","57,148.5 ","47,537.1 ",,"6,870.9 ","12,775.4 ","5,904.5 ","540,778.1 ",,"524,295.8 ","398,284.3 ","126,011.5 ",,"156,367.8 ",,"534,436.9 ",,,,,,
10-12.,"539,284.6 ","285,486.2 ","279,594.8 ","238,187.3 ","24,211.4 ","86,017.3 ","2,432.7 ","85,439.3 ","46,466.6 ",-544.3 ,"9,775.4 ","52,150.1 ","42,374.7 ",,"6,235.7 ","10,889.7 ","4,654.1 ","545,520.3 ",,"529,509.2 ","398,147.6 ","131,361.6 ",,"156,695.2 ",,"537,396.2 ",,,,,,
1999/ 1- 3.,"529,073.1 ","285,186.0 ","279,230.5 ","237,668.8 ","23,854.4 ","83,194.4 ","-3,539.2 ","85,294.5 ","46,345.7 ",-75.8 ,"8,813.1 ","50,677.6 ","41,864.5 ",,"5,535.7 ","10,590.2 ","5,054.4 ","534,608.9 ",,"520,260.0 ","388,695.6 ","131,564.4 ",,"153,394.6 ",,"532,688.2 ",,,,,,
4- 6.,"529,015.3 ","285,057.5 ","278,955.7 ","237,200.4 ","25,398.0 ","83,338.5 ","-3,859.9 ","85,849.0 ","45,352.2 ",-5.3 ,"7,885.3 ","51,698.6 ","43,813.2 ",,"6,683.9 ","10,884.6 ","4,200.7 ","535,699.2 ",,"521,130.0 ","389,934.0 ","131,195.9 ",,"154,088.6 ",,"532,880.5 ",,,,,,
7- 9.,"528,595.2 ","286,728.0 ","280,451.5 ","238,451.0 ","25,682.1 ","82,693.4 ","-3,374.5 ","85,564.9 ","43,952.6 ",1.8 ,"7,346.9 ","52,189.4 ","44,842.4 ",,"6,774.8 ","10,639.6 ","3,864.8 ","535,370.0 ",,"521,248.3 ","391,729.0 ","129,519.3 ",,"152,328.1 ",,"531,967.9 ",,,,,,
