実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"469,192.9 ","262,268.9 ","256,921.5 ","217,820.6 ","26,877.8 ","73,817.0 ","-3,777.1 ","81,532.2 ","47,691.7 ",-7.6 ,"-11,524.1 ","45,110.2 ","56,634.3 ","-7,685.9 ",,"19,924.0 ","489,116.9 ","6,236.7 ","10,157.8 ","3,921.1 ","495,353.6 ",,"486,039.9 ","359,169.3 ","127,196.9 ",,"145,871.4 ",,"472,017.2 ",,,
7- 9.,"471,674.0 ","264,068.7 ","258,537.5 ","219,185.4 ","27,140.0 ","73,391.8 ","-3,439.3 ","82,478.1 ","46,223.2 ",-9.8 ,"-11,020.9 ","47,048.6 ","58,069.4 ","-7,157.8 ",,"18,980.1 ","490,654.1 ","6,342.8 ","9,961.8 ","3,619.0 ","496,996.9 ",,"487,569.9 ","361,068.0 ","126,793.1 ",,"144,326.9 ",,"474,192.3 ",,,
10-12.,"471,824.9 ","264,803.7 ","259,300.7 ","219,708.0 ","26,009.4 ","74,183.8 ","-3,591.9 ","82,804.0 ","46,007.9 ",-387.8 ,"-11,687.9 ","48,122.7 ","59,810.6 ","-6,316.3 ",,"20,094.3 ","491,919.2 ","6,657.3 ","10,164.7 ","3,507.3 ","498,576.5 ",,"487,858.8 ","361,504.7 ","126,632.4 ",,"143,975.3 ",,"474,748.4 ",,,
2000/ 1- 3.,"479,973.3 ","266,388.7 ","261,137.6 ","221,297.7 ","26,274.5 ","76,969.7 ","-1,587.5 ","83,857.1 ","43,484.0 ",179.8 ,"-9,119.9 ","50,708.1 ","59,827.9 ","-6,473.0 ",,"18,312.6 ","498,285.9 ","6,354.6 ","10,530.5 ","4,175.9 ","504,640.5 ",,"493,725.3 ","368,054.1 ","125,823.4 ",,"144,916.2 ",,"480,703.9 ",,,
4- 6.,"482,122.2 ","265,907.0 ","260,991.6 ","220,909.9 ","26,955.2 ","75,878.9 ","1,311.5 ","84,867.1 ","43,190.7 ",40.0 ,"-9,888.6 ","52,331.5 ","62,220.2 ","-6,139.6 ",,"19,087.5 ","501,209.7 ","7,695.9 ","11,318.9 ","3,623.0 ","508,905.7 ",,"495,994.2 ","369,683.3 ","126,465.2 ",,"144,094.0 ",,"480,397.4 ",,,
7- 9.,"482,258.3 ","266,391.8 ","261,717.5 ","221,386.3 ","26,428.4 ","78,476.9 ","-1,015.0 ","85,491.3 ","42,385.0 ",-47.8 ,"-10,674.8 ","53,198.7 ","63,873.4 ","-5,177.6 ",,"18,700.4 ","500,958.7 ","7,662.7 ","11,412.1 ","3,749.4 ","508,621.4 ",,"496,417.8 ","370,277.9 ","126,280.0 ",,"145,669.4 ",,"482,655.0 ",,,
10-12.,"486,914.5 ","269,692.8 ","265,052.6 ","224,458.4 ","26,973.0 ","80,839.1 ",234.9 ,"86,040.3 ","41,059.0 ",-73.5 ,"-13,229.9 ","52,968.7 ","66,198.6 ","-4,621.2 ",,"19,355.7 ","506,270.1 ","7,672.0 ","11,819.2 ","4,147.2 ","513,942.2 ",,"503,221.0 ","377,653.2 ","125,584.8 ",,"147,479.8 ",,"486,224.5 ",,,
2001/ 1- 3.,"490,543.7 ","271,251.9 ","266,439.8 ","225,601.9 ","26,979.7 ","81,265.8 ","2,181.0 ","86,182.3 ","43,067.0 ",17.8 ,"-15,262.0 ","51,054.0 ","66,316.0 ","-5,139.8 ",,"19,228.5 ","509,772.3 ","7,943.8 ","12,164.4 ","4,220.6 ","517,716.1 ",,"509,046.7 ","381,434.7 ","127,667.2 ",,"149,750.6 ",,"488,057.9 ",,,
4- 6.,"486,847.5 ","273,501.8 ","268,477.1 ","227,406.7 ","25,461.1 ","79,098.7 ","2,312.1 ","86,935.3 ","40,505.5 ",-213.9 ,"-15,719.3 ","49,152.4 ","64,871.7 ","-5,033.9 ",,"17,986.3 ","504,833.8 ","7,746.6 ","11,766.2 ","4,019.7 ","512,580.3 ",,"506,066.4 ","380,222.7 ","125,850.5 ",,"143,754.0 ",,"484,438.1 ",,,
7- 9.,"481,597.9 ","273,348.8 ","268,198.6 ","226,895.7 ","25,326.6 ","77,644.1 ","-2,136.1 ","87,082.7 ","40,511.1 ",-243.2 ,"-14,884.4 ","48,072.7 ","62,957.1 ","-5,051.7 ",,"17,670.8 ","499,268.7 ","7,671.8 ","11,484.2 ","3,812.5 ","506,940.5 ",,"500,286.0 ","374,383.2 ","125,982.6 ",,"142,089.2 ",,"483,149.4 ",,,
