実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
7- 9.,"557,275.7 ","304,896.8 ","297,688.6 ","247,936.1 ","20,886.5 ","93,421.3 ",111.8 ,"110,977.2 ","28,132.4 ",-47.8 ,-973.2 ,"104,723.4 ","105,696.7 ",-129.4 ,,"-2,332.1 ","554,943.6 ","22,202.7 ","34,891.5 ","12,688.8 ","577,146.3 ",,"558,311.6 ","419,282.7 ","139,030.5 ",,"142,426.2 ",,"557,278.7 ",,,
10-12.,"541,624.4 ","294,548.0 ","287,117.4 ","237,403.6 ","20,495.1 ","86,706.1 ","1,297.8 ","111,341.3 ","28,044.5 ",10.3 ,-705.7 ,"102,683.5 ","103,389.1 ",-113.0 ,,"-1,091.0 ","540,533.4 ","20,861.8 ","33,327.7 ","12,466.0 ","561,395.2 ",,"542,393.5 ","403,025.6 ","139,369.4 ",,"135,274.2 ",,"540,372.5 ",,,
2020/ 1- 3.,"544,569.2 ","296,922.9 ","289,163.4 ","239,421.1 ","19,566.7 ","90,497.4 ","-1,227.8 ","111,332.8 ","27,985.6 ",27.0 ,-566.6 ,"98,820.4 ","99,387.0 ",31.2 ,,-940.8 ,"543,628.4 ","21,652.5 ","33,050.2 ","11,397.6 ","565,281.0 ",,"545,072.1 ","405,756.3 ","139,317.0 ",,"138,024.9 ",,"545,777.1 ",,,
4- 6.,"503,085.0 ","272,581.0 ","264,345.0 ","214,758.1 ","19,565.0 ","84,179.9 ","1,133.5 ","112,018.0 ","29,862.5 ",-92.6 ,"-17,337.4 ","81,485.0 ","98,822.4 ","1,175.2 ",,"4,479.2 ","507,564.2 ","17,801.1 ","28,379.8 ","10,578.7 ","525,365.3 ",,"519,227.1 ","377,448.4 ","141,781.8 ",,"133,678.5 ",,"502,112.1 ",,,
7- 9.,"529,915.2 ","287,288.5 ","278,613.7 ","228,910.3 ","18,592.2 ","84,192.1 ","-1,711.1 ","114,056.1 ","29,342.4 ",-29.3 ,"-2,073.4 ","89,364.5 ","91,437.9 ",257.7 ,,"4,074.3 ","533,989.5 ","18,615.2 ","29,077.1 ","10,461.9 ","552,604.7 ",,"531,726.4 ","388,379.3 ","143,350.7 ",,"132,170.3 ",,"531,651.5 ",,,
10-12.,"539,393.2 ","292,669.0 ","283,926.4 ","234,165.5 ","18,624.0 ","85,759.9 ","-2,056.3 ","115,078.4 ","29,470.7 ",-177.1 ,64.8 ,"96,839.5 ","96,774.6 ",-40.1 ,,"5,091.2 ","544,484.4 ","19,875.3 ","29,513.3 ","9,638.0 ","564,359.8 ",,"539,350.9 ","395,021.5 ","144,334.3 ",,"133,885.7 ",,"541,625.3 ",,,
2021/ 1- 3.,"541,036.0 ","288,017.8 ","279,579.0 ","229,831.9 ","18,921.0 ","87,063.3 ",912.4 ,"114,916.3 ","29,271.2 ",-87.1 ,"2,504.3 ","101,326.0 ","98,821.8 ",-483.2 ,,555.6 ,"541,591.5 ","22,087.0 ","32,761.4 ","10,674.4 ","563,678.6 ",,"538,845.9 ","394,790.6 ","144,061.4 ",,"135,271.7 ",,"540,369.0 ",,,
4- 6.,"544,442.7 ","289,280.2 ","281,162.9 ","231,380.6 ","19,217.5 ","88,953.0 ","1,095.0 ","117,488.8 ","28,495.3 ",-10.7 ,161.5 ,"103,942.0 ","103,780.5 ",-237.9 ,,"-2,009.3 ","542,433.3 ","27,061.9 ","38,376.2 ","11,314.3 ","569,495.2 ",,"544,294.1 ","398,417.7 ","145,885.5 ",,"136,645.9 ",,"543,513.2 ",,,
7- 9.,"541,873.1 ","286,143.5 ","278,205.9 ","228,426.0 ","19,006.1 ","87,626.9 ","1,923.5 ","118,240.6 ","28,013.6 ",-15.5 ,"1,425.3 ","103,172.4 ","101,747.1 ",-490.9 ,,"-5,481.8 ","536,391.3 ","26,531.8 ","37,901.1 ","11,369.2 ","562,923.1 ",,"540,655.0 ","394,540.5 ","146,130.0 ",,"134,627.2 ",,"540,146.3 ",,,
10-12.,"548,321.9 ","294,810.3 ","286,996.7 ","237,123.3 ","18,935.0 ","87,883.7 ","2,143.8 ","117,091.4 ","27,665.4 ",33.8 ,116.8 ,"102,348.9 ","102,232.1 ",-358.5 ,,"-8,244.8 ","540,077.1 ","27,923.4 ","40,483.7 ","12,560.3 ","568,000.5 ",,"548,286.5 ","403,605.2 ","144,675.8 ",,"134,450.5 ",,"546,320.1 ",,,
2022/ 1- 3.,"545,013.8 ","290,859.9 ","283,129.4 ","233,272.5 ","18,741.7 ","88,159.9 ","3,217.5 ","117,825.4 ","26,507.3 ",32.4 ,187.3 ,"106,423.6 ","106,236.3 ",-517.7 ,,"-11,191.2 ","533,822.6 ","31,520.0 ","44,181.5 ","12,661.5 ","565,342.6 ",,"545,025.9 ","400,843.3 ","144,177.5 ",,"133,332.0 ",,"541,884.7 ",,,
4- 6.,"551,285.2 ","296,722.9 ","289,143.3 ","239,206.5 ","18,299.8 ","89,918.1 ","2,712.5 ","118,941.5 ","25,617.5 ",56.3 ,-350.0 ,"107,594.9 ","107,944.8 ",-633.5 ,,"-15,390.8 ","535,894.4 ","30,230.5 ","43,982.4 ","13,751.9 ","566,124.9 ",,"551,836.0 ","407,440.1 ","144,376.1 ",,"133,676.2 ",,"548,633.5 ",,,
7- 9.,"548,883.9 ","296,894.0 ","289,478.7 ","239,517.6 ","18,376.1 ","91,834.7 ","2,263.6 ","118,316.4 ","25,814.7 ",-191.9 ,"-3,625.4 ","109,451.5 ","113,076.9 ",-798.4 ,,"-18,930.5 ","529,953.3 ","33,025.4 ","47,361.7 ","14,336.3 ","562,978.8 ",,"552,835.8 ","409,140.2 ","143,666.8 ",,"135,835.8 ",,"546,994.6 ",,,
10-12.,"550,355.1 ","297,458.4 ","290,044.7 ","240,056.0 ","18,562.1 ","90,790.3 ","2,014.1 ","119,138.3 ","26,009.5 ",143.5 ,"-2,869.9 ","110,204.2 ","113,074.1 ",-891.2 ,,"-17,014.8 ","533,340.3 ","37,546.6 ","53,834.6 ","16,288.1 ","570,886.9 ",,"553,721.4 ","408,590.8 ","145,112.0 ",,"135,208.1 ",,"548,310.9 ",,,
2023/ 1- 3.,"557,072.6 ","300,234.8 ","292,657.9 ","242,603.1 ","18,670.4 ","92,291.2 ","1,893.8 ","119,404.9 ","26,793.4 ",79.2 ,"-1,829.2 ","109,081.8 ","110,911.1 ",-465.8 ,,"-14,628.6 ","542,444.0 ","30,691.2 ","49,153.1 ","18,461.9 ","573,135.2 ",,"558,970.7 ","412,810.7 ","146,134.2 ",,"137,588.8 ",,"555,293.4 ",,,
4- 6.,"560,402.0 ","298,323.0 ","290,560.4 ","240,519.7 ","18,951.5 ","90,590.6 ","2,588.7 ","117,601.3 ","26,817.9 ",25.9 ,"4,790.8 ","111,408.4 ","106,617.5 ",712.2 ,,"-9,944.8 ","550,457.2 ","33,119.0 ","52,618.8 ","19,499.8 ","583,576.1 ",,"554,638.6 ","410,280.1 ","144,318.2 ",,"136,260.8 ",,"557,918.8 ",,,
7- 9.,"554,589.8 ","296,794.5 ","288,910.5 ","238,881.3 ","18,821.0 ","90,290.2 ",-374.9 ,"118,080.7 ","26,286.2 ",19.0 ,"4,767.3 ","112,338.4 ","107,571.1 ",-94.3 ,,"-8,444.7 ","546,145.1 ","32,692.3 ","53,600.2 ","20,907.8 ","578,837.4 ",,"549,247.8 ","405,025.5 ","144,211.0 ",,"135,283.6 ",,"555,534.7 ",,,
10-12.,"554,030.8 ","296,737.2 ","288,793.8 ","238,753.1 ","18,677.9 ","92,207.9 ",-444.1 ,"117,934.1 ","25,867.4 ",51.4 ,"3,753.1 ","115,041.8 ","111,288.7 ",-754.1 ,,"-9,237.0 ","544,793.8 ","34,296.8 ","55,693.9 ","21,397.1 ","579,090.6 ",,"550,359.7 ","406,661.5 ","143,668.2 ",,"136,570.8 ",,"554,996.5 ",,,
2024/ 1- 3.,"552,179.2 ","294,855.6 ","286,915.3 ","236,905.0 ","18,080.6 ","91,563.3 ",401.8 ,"118,493.7 ","25,310.2 ",10.1 ,"3,747.2 ","110,856.0 ","107,108.8 ",-283.3 ,,"-9,344.2 ","542,834.9 ","33,445.3 ","56,024.2 ","22,578.8 ","576,280.3 ",,"547,999.9 ","404,442.8 ","143,540.7 ",,"134,739.4 ",,"552,230.7 ",,,
4- 6.,"557,454.4 ","297,239.6 ","289,310.0 ","239,236.3 ","18,300.9 ","92,718.9 ",871.1 ,"119,489.6 ","26,738.6 ",-24.3 ,"2,475.1 ","112,494.3 ","110,019.3 ",-355.1 ,,"-7,394.0 ","550,060.4 ","36,405.1 ","59,319.8 ","22,914.7 ","586,465.5 ",,"554,748.9 ","408,736.0 ","146,016.1 ",,"137,571.2 ",,"557,019.3 ",,,
7- 9.,"558,654.7 ","299,407.2 ","291,463.4 ","241,332.6 ","18,428.8 ","92,805.1 ","1,182.7 ","119,561.5 ","26,427.9 ",40.8 ,"1,363.5 ","113,849.9 ","112,486.5 ",-562.7 ,,"-7,395.8 ","551,258.9 ","37,132.7 ","60,725.3 ","23,592.6 ","588,391.5 ",,"557,317.2 ","411,456.8 ","145,839.1 ",,"137,472.5 ",,"557,765.6 ",,,
10-12.,"561,765.8 ","299,680.6 ","291,703.4 ","241,554.8 ","18,398.5 ","93,360.1 ",-295.4 ,"119,886.2 ","26,235.4 ",-58.4 ,"4,860.0 ","115,782.6 ","110,922.6 ",-301.3 ,,"-6,849.9 ","554,915.9 ","35,148.8 ","58,406.0 ","23,257.3 ","590,064.7 ",,"556,440.9 ","410,624.7 ","145,800.2 ",,"137,787.2 ",,"562,705.0 ",,,
2025/ 1- 3.,"561,541.8 ","300,112.4 ","292,079.4 ","241,904.3 ","18,650.8 ","94,369.3 ","2,649.2 ","119,282.1 ","26,071.1 ",60.2 ,864.2 ,"115,152.6 ","114,288.5 ",-517.5 ,,"-7,242.3 ","554,299.5 ","37,725.5 ","61,038.1 ","23,312.6 ","592,025.0 ",,"560,910.9 ","415,625.5 ","145,203.6 ",,"138,872.3 ",,"558,949.4 ",,,
＊年率で表示している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊開差＝国内総生産(支出側)−国内総生産(支出側)の内訳項目計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出−財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
